Title,Seller,Price,Location,Year,Ran,Engine Type,Transmission,province
Ford Transit 350 2.0 | PostNL bus | Airco Cruise PDC €235pm,Hans Automotive,"14.950,-",Emmen,2017,216.493 km,Diesel ,Handgeschakeld ,Overijssel
Mercedes-Benz Sprinter | 314 2.2 CDI L2H2 EURO VI-D,Regeljelease.nl,"568,-",Heel Nederland,2019,84.510 km,Diesel ,Handgeschakeld ,In every province
Mercedes CLK-Klasse 1.8 Clk200 Kompr Cabriolet AUT 2008,VDuin,"14.999,-",Bennekom,2008,148.917 km,Benzine ,Automaat ,Gelderland
Mercedes C43 AMG 367 PK 2016 Zwart,John,"34.500,-",Ten Boer,2016,140.500 km,Benzine ,Automaat ,Groningen
Volkswagen Transporter | 2.0 TDI 150pk | DSG | Bulli | Dubbe,Regeljelease.nl,"797,-",Heel Nederland,2021,58.659 km,Diesel ,Automaat ,In every province
Overname private lease Skoda eCitigo BEV 83pk,jl.koopman,e omschrijving,Bergen op Zoom,2020,25.000 km,Elektrisch ,Automaat ,Noord-Brabant
Mercedes C-Klasse C180  AMG pakket binnen en buiten!,H. Tabak,reserveerd,Almere,2014,142.000 km,Benzine ,Automaat ,Flevoland
BMW X4 M40i High Executive / Pano / Leder / Headup / 360 gr.,Bsl,"44.000,-",Reusel,2016,93.000 km,Benzine ,Automaat ,Noord-Brabant
Opel Antara 3.2 24V AUT 2007 Grijs,Sanleh,"5.250,-",Teteringen,2007,151.070 km,Benzine ,Automaat ,Noord-Brabant
39x Ford Custom 310 2.0 TDCI L1L2 Airco Cruise Cam Navi LMV,Finalease,"9.900,-",Stadskanaal,2015,168.821 km,Diesel ,Handgeschakeld ,Groningen
Hyundai Ioniq 1.6 GDI Blue Phev 141 pk DCT 2021 Grijs,J & L,"28.995,-",Honselersdijk,2021,26.385 km,Benzine ,Automaat ,Zuid-Holland
Mercedes S-Klasse 6.0 S65 AMG Lang AUT 2006 Grijs,klussenbedrif,"32.000,-",Amsterdam,2006,231.000 km,Benzine ,Automaat ,Noord-Holland
Volkswagen Crafter Bakwagen 2.0TDI BE-Clixstar Verkoopwagen,DUTCH Vans,"29.700,-",Barneveld,2016,276.083 km,Diesel ,Handgeschakeld ,Gelderland
Audi Q5 3.0 TDI Quattro S-tronic 2009 Wit,tomensuus,"12.500,-",Roelofarendsveen,2009,259.072 km,Diesel ,Automaat ,Zuid-Holland
2013,Boris,"28.500,-",Amsterdam,2013,200.000 km,Diesel ,Automaat ,Noord-Holland
Jouw nieuwe auto! Peugeot 208 1.2 VTI 60KW/82PK 5-D 2018,Cindy,"9.950,-",Baarn,2018,91.160 km,Benzine ,Handgeschakeld ,Utrecht
Peugeot Partner | 1.5 HDI 130 pk Aut. L2 Premium LMV/ PDC/ S,Regeljelease.nl,"340,-",Heel Nederland,2019,80.510 km,Diesel ,Automaat ,In every province
Ford Fiesta 1.5 Tdci 55KW 5DR 2014 Grijs,jeff,"5.150,-",Breda,2014,229.148 km,Diesel ,Handgeschakeld ,Noord-Brabant
Volkswagen Golf Jaar Apk 1.4 TSI 118KW DSG 2009 Grijs,Gert Jan Van Der Heijde,"6.000,-",'s-Gravenhage,2009,268.500 km,Benzine ,Automaat ,Zuid-Holland
Audi S4 2005 Grijs zilver 4.2 V8 345pk CarPlay APK tot 2024,Tjarda,"10.900,-",'s-Gravenhage,2005,194.067 km,Benzine ,Automaat ,Zuid-Holland
Aixam Crossover Brommobiel | 16.508 KM | Microcar & Ligier,Van Bindsbergen Minicars,"10.950,-",Zevenaar,2014,16.508 km,Diesel ,Automaat ,Gelderland
Opel Combo 1.3CDTi 90pk L2H1 *Rijklaar* Airco | Dakdragers |,Van der Wal Vans,"200,-",Langerak,2016,103.422 km,Diesel ,Handgeschakeld ,Drenthe
Mercedes-Benz Vito Personenvervoer 114CDI Lang Kombi |,DUTCH Vans,"29.700,-",Barneveld,2018,151.191 km,Diesel ,Handgeschakeld ,Gelderland
34x MB Vito 114 CDI Airco Cruise Cam Navi Sidebars LMV Trekh,Finalease,"10.900,-",Stadskanaal,2016,279.490 km,Diesel ,Handgeschakeld ,Groningen
Volkswagen Transporter H1 L1 Benzine 2017 Wit,Dutchvans.com,"23.750,-",Barneveld,2017,158.953 km,Benzine ,Handgeschakeld ,Gelderland
BMW 1-Serie model F20 2015/2017! M PAKKET Aut8 benzine Zwart,John,"11.500,-",Ter Apel,2012,248.500 km,Benzine ,Automaat ,Groningen
Opel Vivaro 1.6 CDTI L1H1 PDC Airco Navi Cruise 3Pers €231pm,Hans Automotive,"11.950,-",Emmen,2016,156.648 km,Diesel ,Handgeschakeld ,Overijssel
Mercedes C300 4Matic AMG Line bomvoll opties,Jozee,"59.900,-",Veenendaal,2022,4.600 km,Benzine ,Automaat ,Utrecht
Peugeot 207 1.4 3DRS 2011 Rood,Bakker,"4.750,-",Leek,2011,79.272 km,Benzine ,Handgeschakeld ,Groningen
Mini Cooper S cabrio,Freddy Kooistra,"19.995,-",Buitenpost,2014,30.800 km,Benzine ,Handgeschakeld ,Fryslân
Skoda ENYAQ iV 80 Sportline | Panoramadak | Adaptieve cruise,Van den Brug Heerenveen,"62.900,-",Heerenveen,2022,50 km,Elektrisch ,Automaat ,Fryslân
Peugeot Partner 1.6 e-HDI Cruise Airco PDC Navigatie €167pm,Hans Automotive,"7.450,-",Emmen,2014,169.391 km,Diesel ,Handgeschakeld ,Overijssel
Skoda ENYAQ iV 80 Sportline | Panoramadak | Elektrische acht,Van den Brug Heerenveen,"64.900,-",Heerenveen,2023,50 km,Elektrisch ,Automaat ,Fryslân
Audi A5 Pro Line-S ZGAN - Lavagrijs incl alarm klasse 3,Poke,"14.250,-",Hilversum,2012,225.000 km,Benzine ,Automaat ,Noord-Holland
Peugeot Partner 1.5 BlueHDI Premium | Airco Cruise PDC €249,Hans Automotive,"14.450,-",Emmen,2020,89.176 km,Diesel ,Handgeschakeld ,Overijssel
Pontiac Firebird 6.5 Formula AUT 1978 Bruin,jeroen,"19.500,-",Roermond,1978,0 km,Benzine ,Automaat ,Limburg
Mercedes-Benz EQC 400 4MATIC AMG|Schuifkanteldak|Lane assist,Mikho Automotive,"64.950,-",Almelo,2020,19.500 km,Elektrisch ,Automaat ,Overijssel
Opel Combo 1.3 CDTi L1H1 Airco Navi Lat-om-Lat St/Stop €154,Hans Automotive,"8.950,-",Emmen,2017,122.262 km,Diesel ,Handgeschakeld ,Overijssel
"Volvo XC60 2.0 D4 Polar+, Automaat, Camera, Afn. trekhaak",Linda en Joep,"23.500,-",Oosterhout,2017,88.873 km,Diesel ,Automaat ,Noord-Brabant
Audi RS3 2.5 TFSI | Milltek | Keramisch | Pano | 5jaar garan,Kay,"104.995,-",Almere,2022,9.950 km,Benzine ,Automaat ,Flevoland
Ford Transit Courier 1.0 Ambiente ElekPakket Trekhaak €226pm,Hans Automotive,"12.950,-",Emmen,2016,38.657 km,Benzine ,Handgeschakeld ,Overijssel
Volkswagen Scirocco 1.4 TSI Highline Plus Nwe Ketting DEALER,Van Beek Auto’s,"8.950,-",Wijk en Aalburg,2010,179.360 km,Benzine ,Handgeschakeld ,Noord-Brabant
Peugeot Partner 1.6 BlueHDI Premium | Airco PDC Cruise €249,Hans Automotive,"14.450,-",Emmen,2020,91.211 km,Diesel ,Handgeschakeld ,Overijssel
Mercedes-Benz Sprinter Bestelbus 314CDI L1H1 | groen,DUTCH Vans,"20.800,-",Barneveld,2018,134.718 km,Diesel ,Handgeschakeld ,Gelderland
Peugeot Partner | 1.6HDI L1H1 Airco Trekhaak Imerpiaal EURO,Regeljelease.nl,"168,-",Heel Nederland,2014,125.000 km,Diesel ,Handgeschakeld ,In every province
Iveco Daily H2 L3 Diesel 2014 Wit,Dutchvans.com,"11.700,-",Barneveld,2014,177.438 km,Diesel ,Handgeschakeld ,Gelderland
BMW 5-serie 530i High Executive M-Sport / LED,Automotive Midden Groningen,"34.995,-",Sappemeer,2017,143.168 km,Benzine ,Automaat ,Groningen
Kia SPORTAGE 1.6 T-GDI 4WD GT LINE,Autobedrijf v.d. Elzen,"28.950,-",Volkel,2018,84.206 km,Benzine ,Automaat ,Noord-Brabant
BMW 1-Serie (e87) 2.0 118I 5DR 2007 Blauw,pavelp,"6.600,-",Eindhoven,2007,139.500 km,Benzine ,Handgeschakeld ,Noord-Brabant
Audi Q5 50 TFSI e quattro S edition Blokjes leer/2x S-Line N,Autoverkoop Heerenveen,"47.950,-",Heerenveen,2020,123.716 km,Benzine ,Automaat ,Fryslân
Ford Transit Connect | 1.5EcoBlue 100PK Lang / Imperiaal / C,Regeljelease.nl,"260,-",Heel Nederland,2019,124.930 km,Diesel ,Handgeschakeld ,In every province
BMW 525i 2004 volle auto youngtimer,H.Janssen,reserveerd,Susteren,2004,181.500 km,Benzine ,Handgeschakeld ,Limburg
Mercury Montclair 1957 Zwart,van Leeuwen,"37.900,-",Valkenswaard,1957,5.700 km,Benzine ,Automaat ,Noord-Brabant
Peugeot Expert 2.0 BlueHDI Premium Airco Cruise PDC Nav €335,Hans Automotive,"17.250,-",Emmen,2016,187.975 km,Diesel ,Handgeschakeld ,Overijssel
Volkswagen Golf GTI 2012 300PK [APK TOT 6MRT 2024],Spin,"10.999,-",Noordwolde,2012,106.000 km,Benzine ,Handgeschakeld ,Groningen
Iveco Daily 35C15 3.0 150PK Open laadbak 7-zits Navi Camera,ROS finance,"370,-",Veenendaal,2016,149.169 km,Diesel ,Handgeschakeld ,Utrecht
Mercedes-Benz Sprinter 314 CDI Automaat L3H2 Camera Navi Air,ROS finance,"464,-",Veenendaal,2018,131.521 km,Diesel ,Automaat ,Utrecht
Porsche 718 Boxster 2.0 | TOP STAAT! | DEALER ONDERHOUDEN |,ROS finance,"957,-",Veenendaal,2016,124.299 km,Benzine ,Automaat ,Utrecht
Transit Connect 1.5 TDCI L2 AUT Airco 2x Schuif Cruise €394,Hans Automotive,"22.950,-",Emmen,2017,36.064 km,Diesel ,Automaat ,Overijssel
Porsche Panamera 3.0 4 V6 330PK / PDK 2017 / Porsche Exclusi,Stadhuis Auto's,"74.995,-",Sappemeer,2017,94.000 km,Benzine ,Automaat ,Groningen
"Mercedes Citan | Bestelwagen | occasions| v.a. €157,64 p.m.",DTC Lease,"157,64",IJsselstein,2016,122.814 km,Diesel ,Handgeschakeld ,Utrecht
Ford Transit Connect 1.0 Ecoboost L2 Zwart Marge-BTW VRIJ,SJ USA CARS,"13.999,-",Heeten,2014,92.840 km,Benzine ,Handgeschakeld ,Overijssel
Dodge RAM 1500 5.7 4WD LPG Leer Crewcab MARGE,SJ USA CARS,"44.949,-",Heeten,2019,117.914 km,LPG ,Automaat ,Overijssel
Volkswagen Transporter 2.0 TDI L1H1 3-Persoons Airco €385pm,Hans Automotive,"22.450,-",Emmen,2019,62.641 km,Diesel ,Handgeschakeld ,Overijssel
Fiat Fiorino 1.3 MJ SX Airco PDC Navigatie ElektrPak €165pm,Hans Automotive,"9.650,-",Emmen,2018,82.634 km,Diesel ,Handgeschakeld ,Overijssel
Iveco Daily H2 L3 Diesel 2014 Wit,Dutchvans.com,"11.700,-",Barneveld,2014,177.438 km,Diesel ,Handgeschakeld ,Gelderland
Toyota Proace 1.6D L2 Cruise Control ElektrPak 3Pers €255pm,Hans Automotive,"14.750,-",Emmen,2017,123.198 km,Diesel ,Handgeschakeld ,Overijssel
Mercedes-Benz Citan | 111CDI L1H1 Lang Euro6 *Rijklaar* Airc,Regeljelease.nl,"17.900,-",Heel Nederland,2021,60.367 km,Diesel ,Handgeschakeld ,In every province
Dodge Challenger 3.5 V6 Aut NL kenteken -INRUILKOOPJE-,SJ USA CARS,"14.999,-",Heeten,2010,123.331 km,Benzine ,Automaat ,Overijssel
Chevrolet USA Corvette 6.2 Stingray C7,SJ USA CARS,"56.999,-",Heeten,2014,89.995 km,Benzine ,Handgeschakeld ,Overijssel
Volkswagen Touareg 3.0 V6 TDI 180KW BMT 4M AUT 2013 Wit,J. Derks,"17.950,-",Dordrecht,2013,191.000 km,Diesel ,Automaat ,Zuid-Holland
Lexus GS 450H 3.5 V6 President Line [F-Sport] Uniek! Vol Opt,O,"28.375,-",'s-Gravenhage,2012,144.000 km,Hybride Elektrisch/Benzine ,Automaat ,Zuid-Holland
Volkswagen Transporter 2.0 TDI L1 Airco Cruise PDC €296pm,Hans Automotive,"17.250,-",Emmen,2017,97.940 km,Diesel ,Handgeschakeld ,Overijssel
Volkswagen Beetle 1.4 TSI (160pk) 2012 Rood,Rogier,"8.950,-",Hoorn,2012,173.311 km,Benzine ,Handgeschakeld ,Zuid-Holland
"MINI Cooper Pepper zwart/wit, 1.6, 116 pk + AIRCO",Desirée,"2.950,-",Veenendaal,2004,215.723 km,Benzine ,Handgeschakeld ,Utrecht
Ford Transit Connect 230 L2 1.5 Airco PDC Start/Stop €273pm,Hans Automotive,"15.850,-",Emmen,2018,101.228 km,Diesel ,Handgeschakeld ,Overijssel
Fiat 500 1.2 Lounge 2015 | Airco | Panoramadak | Stuur Bedie,Autobedrijf Thomas Rutten B.V.,"7.250,-",Budel,2015,128.699 km,Benzine ,Handgeschakeld ,Noord-Brabant
BMW 2-serie Active Tourer 218i Centennial Executive 2016 | N,Autobedrijf Thomas Rutten B.V.,"15.999,-",Budel,2016,88.123 km,Benzine ,Handgeschakeld ,Noord-Brabant
Audi S3 Limousine A3 2.0 TFSI Quattro Pro Line Plus 2014 | G,Autobedrijf Thomas Rutten B.V.,"25.999,-",Budel,2014,145.979 km,Benzine ,Automaat ,Noord-Brabant
Volkswagen Transporter 2.0 TDI L1H1 3-Persoons Airco €385pm,Hans Automotive,"22.450,-",Emmen,2019,62.641 km,Diesel ,Handgeschakeld ,Overijssel
Volkswagen Polo 1.2 51KW 2010 Zwart nieuwe apk,Ron,"5.895,-",Malden,2010,155.880 km,Benzine ,Handgeschakeld ,Gelderland
Chevrolet Chevy  VAN 1998 Camper kenteken,Arjan,"7.950,-",Echt,1998,192.759 km,LPG ,Automaat ,Limburg
Mercedes-Benz Vito 111 CDI Lang DC | Airco Cruise €488pm,Hans Automotive,"27.450,-",Emmen,2019,53.944 km,Diesel ,Handgeschakeld ,Overijssel
"VW Sharan 2.0 TSI 200PK, DSG, Leder, Highline, 7 persoons!!!",Roosje,"14.950,-",Tilburg,2012,149.816 km,Benzine ,Automaat ,Noord-Brabant
"Nette Audi A4 Avant TDI, bouwjaar 8-2013, 164dkm",Roy,"11.350,-",Gouda,2013,164.000 km,Diesel ,Handgeschakeld ,Zuid-Holland
Touringcar jonkheere 56 zitplaatsen bwjr 2010,Autohandel Brunssum,"39.500,-",Brunssum,2010,752.441 km,Diesel ,Automaat ,Limburg
Ford Transit Connect | 1.5EcoBlue 100PK Lang / Imperiaal / C,Regeljelease.nl,"260,-",Heel Nederland,2019,124.930 km,Diesel ,Handgeschakeld ,In every province
Citroen C5 1.8 EXTREEM weinig km!!!!,Heidi,"2.995,-",Stolwijk,2002,82.700 km,Benzine ,Handgeschakeld ,Zuid-Holland
Man TGX 18.460,marten,"45.600,-",Deventer,2018,514.764 km,Diesel ,Automaat ,Overijssel
Peugeot Expert 2.0 BlueHDI Premium Airco Cruise PDC Nav €335,Hans Automotive,"17.250,-",Emmen,2016,187.975 km,Diesel ,Handgeschakeld ,Overijssel
Volkswagen Caddy Cargo | 2.0 TDI DSG 122pk | Black Editon |,Regeljelease.nl,"634,-",Heel Nederland,2022,54 km,Diesel ,Automaat ,In every province
Ford Transit H1 L3 Diesel 2016 Wit,Dutchvans.com,"16.700,-",Barneveld,2016,95.864 km,Diesel ,Handgeschakeld ,Gelderland
Toyota Proace 1.6D L2 Cruise Control ElektrPak 3Pers €255pm,Hans Automotive,"14.750,-",Emmen,2017,123.198 km,Diesel ,Handgeschakeld ,Overijssel
Ford Tourneo Connect Overig Titanium 1.5TDCI 100PK  NL,DUTCH Vans,"16.800,-",Barneveld,2018,60.177 km,Diesel ,Handgeschakeld ,Gelderland
Toyota Avensis Business 2.0 D-4d Wagon 2011 Bekleding leder,Mila Flower,"7.500,-",Almere,2011,199.500 km,Diesel ,Handgeschakeld ,Flevoland
Mercedes M-Klasse ML 350d 4matic Zwart,Covero,"21.950,-",Eindhoven,2013,168.450 km,Diesel ,Automaat ,Noord-Brabant
Opel Movano | 2.3CDTI 131pk L3H2 Post NL inrichting Euro6 Ai,Regeljelease.nl,"13.900,-",Heel Nederland,2017,133.247 km,Diesel ,Handgeschakeld ,In every province
Audi A6 Allroad 3.0 TDI 176KW Avant Quattro AUT,JOY,"9.500,-",Haaksbergen,2009,280.000 km,Diesel ,Automaat ,Overijssel
Volkswagen Transporter 2.0 TDI L1H1 3-Persoons Airco €385pm,Hans Automotive,"22.450,-",Emmen,2019,62.641 km,Diesel ,Handgeschakeld ,Overijssel
"Volkswagen Golf 1.4 TSI , DSG , GOLF 5 GT Golf 6 GTI interie",My Destination,"3.950,-",'s-Gravenhage,2006,209.500 km,Benzine ,Automaat ,Zuid-Holland
Mercedes-Benz Vito 111 CDI Lang DC | Airco Cruise €488pm,Hans Automotive,"27.450,-",Emmen,2019,53.944 km,Diesel ,Handgeschakeld ,Overijssel
"Mercedes Vito | Bestelwagen | occasions| v.a. €580,38 p.m.",DTC Lease,"580,38",IJsselstein,2021,36.443 km,Diesel ,Automaat ,Utrecht
Volkswagen up! 1.0 BMT High up! 2018 *VOL OPTIE*STOELVRMNG*,bayramcelikist,"10.249,-",Enschede,2018,72.468 km,Benzine ,Handgeschakeld ,Overijssel
Opel Combo 1.6 L2 Edition Cruise Navi PDC TouchScreen €240pm,Hans Automotive,"13.950,-",Emmen,2019,111.416 km,Diesel ,Handgeschakeld ,Overijssel
Chevrolet apache 58 0626604113 vrpr €37950 Mvg Clenny BE3337,Hulleman en zoon,"37.950,-",Terwolde,1968,89.000 km,Benzine ,Automaat ,Gelderland
Mini Mini Countryman 2.0 Cooper S ALL4|Camera|Pano|Keyles|,MNG Auto's,"27.400,-",Breukelen,2017,85.360 km,Benzine ,Automaat ,Utrecht
Mercedes-Benz Citan 108 CDI | Airco Trekhaak Lat-om-Lat €274,Hans Automotive,"15.950,-",Emmen,2021,79.153 km,Diesel ,Handgeschakeld ,Overijssel
Toyota ProAce | 2.0D L2H1 Aspiration automaat 90237 km !!!!,Regeljelease.nl,"397,-",Heel Nederland,2015,90.237 km,Diesel ,Automaat ,In every province
Volkswagen Caddy Cargo | 2.0 TDI DSG 122pk | Black Editon |,Regeljelease.nl,"634,-",Heel Nederland,2022,54 km,Diesel ,Automaat ,In every province
Renault Master 2.3dCi 136pk L3H3 Nieuw model Euro6 Airco | H,Van der Wal Vans,"23.800,-",Langerak,2020,85.370 km,Diesel ,Handgeschakeld ,Drenthe
Ford Transit Connect | 1.5TDCI 100pk L2H1 Trend Euro6 *Rijkl,Regeljelease.nl,"308,-",Heel Nederland,2020,45.333 km,Diesel ,Handgeschakeld ,In every province
Volkswagen Golf 1.6 75kw PDC/AIRCO/STOELVERWARMING!,Veluwe Auto's,"4.450,-",Doesburg,2005,157.597 km,Benzine ,Handgeschakeld ,Gelderland
BMW 5-Serie 2.0 D 520 AUT 2013 Zwart,Transbike BV,"9.999,-",Amsterdam,2013,325.000 km,Diesel ,Automaat ,Noord-Holland
Volkswagen Transporter 2.0 TDI L1 Airco Cruise PDC €296pm,Hans Automotive,"17.250,-",Emmen,2017,97.940 km,Diesel ,Handgeschakeld ,Overijssel
Ford Transit | 350 2.0 TDCI 170 pk AWD/ 4X4/ Allrad L3H2 DC,Regeljelease.nl,"608,-",Heel Nederland,2020,76.026 km,Diesel ,Handgeschakeld ,In every province
BMW Z4 Sdrive 23I 2010 Zwart,A. van Overbeeke,"19.900,-",Zwartsluis,2010,136.500 km,Benzine ,Automaat ,Overijssel
Volvo 244 2.1 DL Jubileum 1977 Grijs,S van Kammen,"13.250,-",Ermelo,1977,225.000 km,Benzine ,Automaat ,Gelderland
Ford Transit Connect 230 L2 1.5 Airco PDC Start/Stop €273pm,Hans Automotive,"15.850,-",Emmen,2018,101.228 km,Diesel ,Handgeschakeld ,Overijssel
Mercedes E-Klasse E220 d 194pk 9G-TRONIC 2017 Zwart,Licht & Geluid,"35.000,-",Terneuzen,2017,185.000 km,Diesel ,Automaat ,Zeeland
Seat Leon 1.6 Active Style 5 Drs. Airco Parkeersensoren AUX,SBJ Automotive,"6.950,-",Rotterdam,2009,121.267 km,Benzine ,Handgeschakeld ,Zuid-Holland
Ford Transit Courier | 1.5TDCI 75PK Ambiente Euro6,Regeljelease.nl,"193,-",Heel Nederland,2018,111.345 km,Diesel ,Handgeschakeld ,In every province
Mercedes-Benz C-klasse 200 CDI Business Solution AUT. *NAVI+,Automotive Vrede,"18.250,-",Waddinxveen,2017,161.714 km,Diesel ,Automaat ,Zuid-Holland
Audi A3 1.4 Tfsi 110KW SB S-tronic FULL OPTIONS,Kirsten M.,"24.500,-",Bilthoven,2017,158.000 km,Benzine ,Automaat ,Utrecht
Audi A1 1.6 TDI S-Line sportback 2012 Wit,Daniel,"8.750,-",Nuth,2012,167.000 km,Diesel ,Handgeschakeld ,Limburg
Mercedes-Benz A-klasse 200 AMG|Pano|Night|Sfeer|Reality Cam,MD Auto-Centrum,"30.250,-",Oss,2018,97.976 km,Benzine ,Automaat ,Noord-Brabant
Land Rover Defender 110 SW 2.4td 7 pers. Bieden vanaf €42000,Nico Doornberg,eden,Beverwijk,2008,82.000 km,Diesel ,Handgeschakeld ,Noord-Holland
Audi Q3 Sportback 35 TFSI 3 X S-line Pano Sfeer Leder Keyles,De Steiger Auto's,"54.750,-",Almere,2020,19.756 km,Benzine ,Automaat ,Flevoland
Renault Master T35 2.3 dCi L3H2 136PK Airco Cruise €546pm,Finalease.nl,"33.600,-",Heel Nederland,2022,1.627 km,Diesel ,Handgeschakeld ,In every province
"Mercedes Sprinter | Bestelwagen | occasions| v.a. €268,90 pm",DTC Lease,"268,90",IJsselstein,2016,144.655 km,Diesel ,Handgeschakeld ,Utrecht
Volkswagen Golf 1.2 TSI 77KW 5D DSG 2013 Grijs,Alpay,"16.500,-",Tilburg,2013,71.000 km,Benzine ,Automaat ,Noord-Brabant
Audi A3 Limousine 1.4 TFSI S-Line Black Edition Pano LED 19,Schreuders Auto's,"23.950,-",Maurik,2016,123.216 km,Benzine ,Handgeschakeld ,Gelderland
Volkswagen Golf 1.5 TSI R-Line LAPIZ BLUE Pano H&K Camera IQ,Schreuders Auto's,"38.950,-",Maurik,2022,18.615 km,Benzine ,Handgeschakeld ,Gelderland
Mercedes-Benz Citan 108 CDI | Airco Trekhaak Lat-om-Lat €274,Hans Automotive,"15.950,-",Emmen,2021,79.153 km,Diesel ,Handgeschakeld ,Overijssel
Volkswagen Polo 1.0 TSI  APPLE CARPLAY | DAB+ | Privacy-Glas,Neuteboom Automotive B.V.,"13.250,-",Dordrecht,2018,98.257 km,Benzine ,Handgeschakeld ,Zuid-Holland
Volkswagen Golf GTI 2.0 TSI   2011 Grijs Unitedgrey metallic,Lucas,"10.750,-",Beilen,2011,135.484 km,Benzine ,Handgeschakeld ,Drenthe
Ford Transit Connect 1.5 TDCI | Airco Navi Camera Trekh €188,Hans Automotive,"10.950,-",Emmen,2018,184.178 km,Diesel ,Handgeschakeld ,Overijssel
Citroen C5 1.6 THP Tourer automaat exclusieve .2010 Grijs,Minne Fokkema,"3.750,-",Oudega,2010,238.000 km,Benzine ,Automaat ,Fryslân
"Dodge Ram 1500 5.7 V8 4x4 Backcountry Widebody, Fuel velgen",Millbrooks,"72.950,-",Nuland,2023,10 km,LPG ,Automaat ,Noord-Brabant
Volkswagen Transporter C 2.0 D 2011,peter,"10.900,-",Hem,2012,220.000 km,Diesel ,Handgeschakeld ,Noord-Holland
Audi A4 Avant 2.0 Tfsi 252pk S Tronic Quattro MJ 2016 Grijs,Mustafa,"31.949,-",Assendelft,2015,118.000 km,Benzine ,Automaat ,Noord-Holland
Seat Ateca FR Business Intense 1.5 TSI DSG7/1ste eig/IZGST,Roger,"30.950,-",Elsloo,2020,68.500 km,Benzine ,Automaat ,Limburg
Volvo V90 2.0 T5 R-DESIGN,Garage Gritter,"43.650,-",Koekange,2019,64.660 km,Benzine ,Automaat ,Drenthe
Land Rover Range Rover Evoque 2.2 SD4 4WD Prestige,Autocentrum Huizinga,"19.950,-",Drachten,2011,208.830 km,Diesel ,Automaat ,Fryslân
Volkswagen UP! 1.0 44KW 2012 Zwart,R,"4.950,-",Aarlanderveen,2012,174.000 km,Benzine ,Handgeschakeld ,Zuid-Holland
Ford Tourneo Connect Overig Titanium 1.5TDCI 100PK  NL,DUTCH Vans,"16.800,-",Barneveld,2018,60.177 km,Diesel ,Handgeschakeld ,Gelderland
"Mercedes Sprinter | Bestelwagen | occasions| v.a. €268,90 pm",DTC Lease,"268,90",IJsselstein,2016,144.655 km,Diesel ,Handgeschakeld ,Utrecht
Mercedes SLK-klasse 200|AUT|NAVIGATIE|AIRSCARF|XENON|LED|DEA,Autoservice Nuenen,"18.450,-",Nuenen,2011,156.698 km,Benzine ,Automaat ,Noord-Brabant
Volkswagen Golf 1.5 eTSI R-Line DSG Pano Keyless Sfeerverlic,De Steiger Auto's,"37.950,-",Almere,2021,22.815 km,Benzine ,Automaat ,Flevoland
Volvo V70 2.4 Kinetic170PK Youngtimer,VTR  Automotive,"9.945,-",Rheden,2006,155.841 km,Benzine ,Handgeschakeld ,Gelderland
Volkswagen Transporter Caravelle 2.5 8 Persoons BENZINE / YO,VTR  Automotive,"9.945,-",Rheden,1992,154.206 km,Benzine ,Handgeschakeld ,Gelderland
Ford Transit Courier 1.5 TDCI Trend Airco Navigatie Schuifde,Befran,"10.950,-",Kerkrade,2017,92.939 km,Diesel ,Handgeschakeld ,Limburg
Fiat Grande Punto 1.4 Active,NEXT CAR BRABANT,"1.649,-",Helmond,2007,227.719 km,Benzine ,Handgeschakeld ,Noord-Brabant
Renault Twingo Matic Automaat 88Dkm APK tm 16-2-24,Designer verlichting opheffing,"1.450,-",Veghel,2000,88.035 km,Benzine ,Automaat ,Noord-Brabant
Volkswagen Passat Variant 1.4TSI VIRTUAL/TREKHAAK/CAMERA/LED,Occasioncenter,"19.995,-",Almere,2016,102.908 km,Benzine ,Automaat ,Flevoland
Citroën Jumpy 1.6BlueHDI L1H1 Euro6 *Rijklaar* Airco | Navi,Van der Wal Vans,"18.900,-",Langerak,2018,136.729 km,Diesel ,Handgeschakeld ,Drenthe
LYNK&CO 01 10-2021 APK+GARANTIE 10-2025 KM 17900 TREKHAAK,NG,"41.995,-",Druten,2021,17.900 km,Hybride Elektrisch/Benzine ,Automaat ,Gelderland
Ford Transit Connect | 1.5TDCI 100pk L2H1 Trend Euro6 *Rijkl,Regeljelease.nl,"18.900,-",Heel Nederland,2020,45.333 km,Diesel ,Handgeschakeld ,In every province
Iveco Daily | 35C17 | Be-trekker oplegger | Be-combinatie |,Regeljelease.nl,"1.772,-",Heel Nederland,2013,168.018 km,Diesel ,Handgeschakeld ,In every province
Mercedes-Benz Vito Bestelbus 116CDI 7G-Tronic Automaat Lang,DUTCH Vans,"31.400,-",Barneveld,2018,129.970 km,Diesel ,Automaat ,Gelderland
Porsche CAYENNE 4.0 Turbo Akrapovic XPEL (PPF),Automotive Experience,"119.950,-",Vianen,2018,91.500 km,Benzine ,Automaat ,Noord-Brabant
Volkswagen Tiguan 1.4 TSI ACT Highline | DSG | Camera | Trek,Autoservice Peerdeman,"23.950,-",Grootebroek,2017,105.385 km,Benzine ,Automaat ,Noord-Holland
Audi S1 2.0 Tfsi 231PK  Sportback Quattro Grijs,Bas,"22.495,-",Geldrop,2014,58.000 km,Benzine ,Handgeschakeld ,Noord-Brabant
