Make,Model,Price,Year,Ran,Engine Type,Transmission,Location,Province,Seller,Title
aixam,coupe,9995,2018 ,40846.0,Diesel ,Automaat ,Beek,Limburg,Garage Kaal & Buunk,mat grijze aixam coupe incl.3 mnd garantie + onderhoudsbeurt
porsche,panamera,44950,2013 ,140112.0,Benzine ,Automaat ,Geleen,Limburg,Paes Classics,porsche panamera 4.8 gts 430pk inruilen/ruilen
mercedes,g350,48950,2010 ,273000.0,Diesel ,Automaat ,Geleen,Limburg,Paes Classics,mercedes g-klasse 3.0 g350 cdi bluetec inruil- ruilen
jeep,wrangler,37500,2016 ,92000.0,Benzine ,Automaat ,Boxtel,Noord-Brabant,Daan,jeep wrangler jeepers edition | 3.6 liter v6 grijskenteken
ligier,rc,10950,2015 ,24162.0,Diesel ,Automaat ,Beek,Limburg,Garage Kaal & Buunk,ligier f8 rc coupe- 2015- incl.3mnd garantie en onderhoud
bmw,116d,12000,2013 ,98000.0,Diesel ,Automaat ,'s-Gravenhage,Zuid-Holland,kenneth,bmw 1-serie (f21) 116d 3dr aut 2013
mercedes,vito,15700,2017 ,158537.0,Diesel ,Handgeschakeld ,Barneveld,Gelderland,DUTCH Vans,mercedes-benz vito bestelbus lang comfort | achterdeuren |
mercedes,500,69900,2016 ,76968.0,Benzine ,Automaat ,Amstelveen,Noord-Holland,Legmeer Automotive,"mercedes-benz s-klasse 500 (456pk) pano, btw, dist+, burmest"
volkswagen,polo,22940,2021 ,10000.0,Benzine ,Automaat ,Schiedam,Zuid-Holland,Willem,volkswagen polo 2021 dsg garantie 3j | carplay | camera | lane | acc
opel,corsa,5950,2011 ,139167.0,Benzine ,Handgeschakeld ,Enter,Overijssel,Rudy Van De Ven Auto's,opel corsa color race 1.4 16v 5 deurs hele speciale uitvoeri
opel,corsa,7999,2016 ,116235.0,Benzine ,Handgeschakeld ,Enter,Overijssel,Rudy Van De Ven Auto's,opel corsa 1.4-16v design edition 5 deurs zwart airco
ligier,rc,10950,2015 ,24162.0,Diesel ,Automaat ,Beek,Limburg,Garage Kaal & Buunk,ligier f8 rc coupe- 2015- incl.3mnd garantie en onderhoud
mercedes,vito,15700,2017 ,158537.0,Diesel ,Handgeschakeld ,Barneveld,Gelderland,DUTCH Vans,mercedes-benz vito bestelbus lang comfort | achterdeuren |
ford,fiesta,11999,2019 ,59833.0,Benzine ,Handgeschakeld ,Enter,Overijssel,Rudy Van De Ven Auto's,ford fiesta st line 5 deurs 100pk cruise controle
suzuki,s-cross,14450,2017 ,99851.0,Benzine ,Handgeschakeld ,Enter,Overijssel,Rudy Van De Ven Auto's,suzuki s-cross 1.0 boosterjet high executive super mooie aut
toyota,proace,22800,2021 ,41718.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 2.0d-4d 123pk l3h1 xl extra lang euro6*rijklaa
hyundai ,kona,16500,2019 ,49642.0,Benzine ,Handgeschakeld ,Enter,Overijssel,Rudy Van De Ven Auto's,hyundai kona 1.0 t-gdi i-drive 120pk 1e eigenaar airco cruis
audi,s4,22950,2012 ,205000.0,Benzine ,Automaat ,Mariahout,Noord-Brabant,Koen,audi s4 3.0 tfsi 245kw avant quattro aut 2012 zwart
mini,mini,5745,2010 ,186843.0,Benzine ,Handgeschakeld ,Alblasserdam,Zuid-Holland,Peter,"mooie & betrouwbare mini one! (volle tank, zomerbanden erbij"
volkswagen,caddy,23000,2017 ,50000.0,Diesel ,Handgeschakeld ,"Zoersel , BE",In every province,Daan Broecks,volkswagen caddy
peugeot,208,5850,2014 ,137254.0,Benzine ,Handgeschakeld ,Nijkerk,Gelderland,Valk automotive,peugeot 208 1.2 vti 82pk  airco-trekhaak-cruise control
mini,cooper,9950,2011 ,157166.0,Benzine ,Handgeschakeld ,Putten,Gelderland,STM Auto's,mini mini 1.6 cooper s chili 184 pk! ecc cruisecontrol leer
volkswagen,golf,56950,2021 ,22918.0,Benzine ,Automaat ,Waalwijk,Noord-Brabant,Autobedrijf Jong ijzer,volkswagen golf 2.0 tsi r 4m performance akra headup harman
chrysler,coupe,37900,1956 ,94418.0,Benzine ,Automaat ,Veenoord,Drenthe,Autobedrijf Robert Wagner,chrysler nassau coupe 1956 gerestaureerd nl-kenteken
chevrolet,corvette,36900,1978 ,84752.0,Benzine ,Automaat ,Veenoord,Drenthe,Autobedrijf Robert Wagner,chevrolet corvette 1978 pace car all original matching # km/
mini,cooper,4995,2005 ,179764.0,Benzine ,Handgeschakeld ,Sint-Michielsgestel,Noord-Brabant,T. v. Boven,mini cooper s 2005 panoramadak  originele nl auto met nap
volkswagen,transporter,28950,2018 ,290000.0,Benzine ,Automaat ,Amsterdam,Noord-Holland,Ömer,volkswagen transporter t6 highline -cng/aardgas-204pk- 9pers
toyota,proace,22800,2021 ,41718.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 2.0d-4d 123pk l3h1 xl extra lang euro6*rijklaa
aixam,crossline,8950,2009 ,34646.0,Diesel ,Automaat ,Beek,Limburg,Garage Kaal & Buunk,aixam crossline -2009- incl. 3 mnd garantie +onderhoudsbeurt
volkswagen,golf,16100,2015 ,130000.0,Benzine ,Handgeschakeld ,Tilburg,Noord-Brabant,Wenda Wams,volkswagen golf 7 1.4 tsi 3x r-line
peugeot,208,799998,2014 ,88200.0,Benzine ,Handgeschakeld ,Soest,Utrecht,Arkin,peugeot 208 1.2 vti | stoelverwarming | 60kw/82pk 2014 wit
volkswagen,beetle,19950,2013 ,100503.0,Benzine ,Automaat ,Voorschoten,Zuid-Holland,Autobedrijf Van Altena,volkswagen beetle cabriolet 1.2 tsi design / aut / leder / a
audi,a4,26500,2017 ,10600.0,Diesel ,Automaat ,Rotterdam,Zuid-Holland,wali,audi a4 2.0 tdi ultra 140kw av s-tr7 2017 wit
ford,fiesta,15950,2018 ,85650.0,Benzine ,Handgeschakeld ,Vianen,Noord-Brabant,Automotive Experience,ford fiesta 1.0 ecoboost st line 140pk led navi
bmw,x5,34500,2017 ,99200.0,Diesel ,Automaat ,Oss,Noord-Brabant,KG handelsonderneming,bmw x5 m-pakket xdrive 311pk grijs kenteken
mercedes,sprinter,15800,nan,99200.0,Diesel ,Automaat ,Barneveld,Gelderland,DUTCH VANS,35 x mercedes sprinter nieuw en gebruikt! direct leverbaar!!
bmw,3-serie,13650,2008 ,173806.0,Benzine ,Automaat ,Huizen,Noord-Holland,Carpix,"bmw 3-serie 320i cabrio, high executive dealer onderhouden"
volkswagen,90,23990,2022 ,32541.0,Diesel ,Handgeschakeld ,Zeewolde,Flevoland,Steven,"volkswagen transporter, 2.0tdi 90 pk, 1 jaar oud, btw auto"
aixam,crossline,8950,2009 ,34646.0,Diesel ,Automaat ,Beek,Limburg,Garage Kaal & Buunk,aixam crossline -2009- incl. 3 mnd garantie +onderhoudsbeurt
volvo,s40,1750,2003 ,262542.0,Benzine ,Handgeschakeld ,Hazerswoude-Dorp,Zuid-Holland,Autobedrijf van der Laan,volvo s40 1.8 2003 blauw
volvo,v40,14899,2014 ,91712.0,Benzine ,Handgeschakeld ,Enter,Overijssel,Rudy Van De Ven Auto's,volvo v40 1.5 t2 momentum cruise controle navigatie xenon
volkswagen,amarok,39900,2017 ,72232.0,Diesel ,Automaat ,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,volkswagen amarok 3.0 tdi v6 4motion plus cab r-line+ comfor
land rover,88,7500,1982 ,113000.0,Diesel ,Handgeschakeld ,"Malaga , ES",In every province,Sunshine Motors,"land rover 88 diesel, bj 1982, oldtimer, goede staat"
volkswagen,golf,12900,2013 ,159579.0,Benzine ,Handgeschakeld ,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"volkswagen golf variant 1.2 tsi highline- park assist, navi,"
peugeot,208,5850,2014 ,137254.0,Benzine ,Handgeschakeld ,Nijkerk,Gelderland,Valk automotive,peugeot 208 1.2 vti 82pk  airco-trekhaak-cruise control
range,pilot,39945,nan,137254.0,Benzine ,Handgeschakeld ,Soest,Utrecht,Auto Smeeing Soest,10x polestar's 2 | performance | longe range | dual | pilot
nissan,qashqai,19900,2017 ,150792.0,Benzine ,Handgeschakeld ,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"nissan qashqai 1.2 tekna 360 camera, panodak, xenon led, sfe"
opel,movano,13700,nan,150792.0,Benzine ,Handgeschakeld ,Barneveld,Gelderland,DUTCH VANS,10x opel movano airco navi camera trekhaak
mercedes,sc,34900,2018 ,137515.0,Diesel ,Automaat ,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,mercedes-benz vito 119 cdi lang amg night edition aut- 2x sc
ford,transit,19750,2020 ,92330.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,ford transit connect 1.5tdci l2h1 trend euro6 *rijklaar* air
mercedes,gle,79900,2019 ,25968.0,Diesel ,Automaat ,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,mercedes-benz gle 300 d 4matic amg night edition- alcantara
toyota,proace,304,2019 ,101627.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 *rijklaar* airco | cr
volkswagen,golf,44900,2021 ,30351.0,Hybride Elektrisch/Benzine ,Automaat ,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"volkswagen golf 1.5 etsi r performance aut- harman kardon, p"
dodge,ram,79950,2023 ,10.0,LPG ,Automaat ,Nuland,Noord-Brabant,Millbrooks,"dodge ram 1500 5.7 v8 rebel night g/t e-torque, trx opties!"
toyota,proace,18400,2020 ,93679.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | 3-zi
toyota,proace,275,2020 ,127300.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d l2h1 euro6 airco | cruisecontrol | par
mini,cooper,4995,2005 ,179764.0,Benzine ,Handgeschakeld ,Sint-Michielsgestel,Noord-Brabant,T. v. Boven,mini cooper s 2005 panoramadak  originele nl auto met nap
opel,corsa,3945,2012 ,195075.0,Diesel ,Handgeschakeld ,Sint-Michielsgestel,Noord-Brabant,Steijger Autoservice,opel corsa 1.3 cdti 95pk ecoflex cosmo navi 5-drs
toyota,proace,300,2020 ,93679.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | 3-zi
audi,e-tron,56995,2022 ,4341.0,Elektrisch ,Automaat ,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,audi q4 sportback e-tron 35 52 kwh | binnen 14 dagen rijden
volkswagen,polo,23995,2022 ,15121.0,Benzine ,Handgeschakeld ,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,volkswagen polo 1.0tsi 95pk life | stoelverwarming | achteru
volkswagen,golf,24495,2020 ,45800.0,Benzine ,Handgeschakeld ,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,volkswagen golf variant 1.5 tsi 150pk comforttline | navigat
volkswagen,golf,33995,2021 ,27500.0,Benzine ,Handgeschakeld ,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,volkswagen golf 1.5 tsi 130pk r-line | 18 inch | navigatie |
toyota,proace,324,2020 ,89772.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 *rijklaar* airco | cr
skoda,fabia,21995,2022 ,18203.0,Benzine ,Handgeschakeld ,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,skoda fabia 1.0 tsi 95pk tsi ambition | climatronic | apple
skoda,80,63995,2023 ,1500.0,Elektrisch ,Automaat ,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,skoda enyaq iv 80 204pk sportline | direct uit voorraad leve
seat,ateca,39495,2022 ,18874.0,Benzine ,Automaat ,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,seat ateca 1.5tsi 150pk dsg-7 fr | verwarmbare voorstoelen &
porsche,panamera,99950,2019 ,33936.0,Benzine ,Automaat ,Ulvenhout,Noord-Brabant,René,porsche panamera e-hybrid sport turismo (2019) full options
toyota,proace,308,2020 ,102633.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | park
seat,arona,27495,2022 ,14321.0,Benzine ,Handgeschakeld ,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,seat arona 1.0tsi 110pk fr | full led koplampverlichting | n
audi,a3,41995,2022 ,4048.0,Benzine ,Automaat ,Dordrecht,Zuid-Holland,Audi Centrum Dordrecht,audi a3 sportback 35 tfsi s-line | 18inch | stoelverwarming
audi,a3,37995,2021 ,16205.0,Hybride Elektrisch/Benzine ,Automaat ,Dordrecht,Zuid-Holland,Audi Centrum Dordrecht,audi a3 sportback 40 tfsi e 204pk advanced | (bj 2021)
audi,a3,37995,2021 ,9678.0,Hybride Elektrisch/Benzine ,Automaat ,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,audi a3 sportback 40 tfsi e 204pk business edition
toyota,proace,18900,2020 ,102633.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | park
audi,a3,39995,2021 ,10732.0,Overige brandstoffen ,Automaat ,Dordrecht,Zuid-Holland,Audi Centrum Dordrecht,"audi a3 sportback 40 tfsi e 204pk | (bj 2021, automaat)"
audi,a1,37995,2022 ,7453.0,Benzine ,Automaat ,Dordrecht,Zuid-Holland,Audi Centrum Dordrecht,audi a1 sportback 35 tfsi 150pk s-tronic s-line (bj 2022)
toyota,proace,18700,2019 ,101627.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 *rijklaar* airco | cr
audi,a3,18350,2017 ,104081.0,Benzine ,Handgeschakeld ,Goirle,Noord-Brabant,Mats,✅ audi a3 s-line 150pk virtual-cockpit keyless led  “voll”
toyota,proace,18400,2020 ,93679.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | 3-zi
opel,movano,13700,nan,93679.0,Diesel ,Handgeschakeld ,Barneveld,Gelderland,DUTCH VANS,10x opel movano airco navi camera trekhaak
volkswagen,golf,18550,2017 ,95000.0,Benzine ,Automaat ,Elspeet,Gelderland,peter,volkswagen golf 7.5  1.0 tsi 110pk 7-dsg 5d 2017 zwart
volkswagen,up!,7995,2018 ,105350.0,Benzine ,Handgeschakeld ,Hoogezand,Groningen,van der Ben,volkswagen up! 1.0 75pk bmt move up! 5d / airco | led | dab
bmw,3-serie,12850,2010 ,101229.0,Benzine ,Automaat ,Huizen,Noord-Holland,Carpix,"bmw 3-serie 318i, high executive,101229km dealer onderhouden"
audi,s4,8500,2003 ,235300.0,Benzine ,Handgeschakeld ,Bemmel,Gelderland,Pascal,audi s4 2003 zwart btw auto
peugeot,expert,11700,2016 ,158539.0,Diesel ,Handgeschakeld ,Barneveld,Gelderland,DUTCH Vans,peugeot expert bestelbus 1.6 bluehdi 95 pro | airco | cruise
ford,transit,13750,2016 ,153161.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,ford transit custom 2.0tdci l1h1 euro6 airco | cruisecontrol
audi,a6,14900,2013 ,221000.0,Diesel ,Automaat ,Amsterdam,Noord-Holland,Kroon,audi a6 allroad 3.0 tdi quattro 150kw s-tronic  zilver grijs
opel,h1,10800,2017 ,73521.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Action Lease,opel combo l1 h1 2017 €156 per maand
audi,q7,12750,2008 ,276000.0,Diesel ,Automaat ,Hoevelaken,Gelderland,Dirk,audi q7 3.0 tdi 176kw quattro tiptr. 7st 2008 zwart
audi,a3,28250,2016 ,112930.0,Benzine ,Automaat ,Amstelveen,Noord-Holland,WeSelect,audi a3 sportback 1.4 tfsi design pro line plus pano/laneass
renault,mégane,11250,2017 ,155500.0,Diesel ,Automaat ,'s-Gravenhage,Zuid-Holland,sidar,renault mégane estate 1.5 energy dci 110pk edc 2017 grijs
aixam,crossover,16699,2023 ,1.0,Diesel ,Automaat ,Beek,Limburg,Garage Kaal & Buunk - Aixam,nieuwe 2023 model van aixam / crossover suv hoge instap
ford,transit,19750,2020 ,92330.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,ford transit connect 1.5tdci l2h1 trend euro6 *rijklaar* air
toyota,proace,304,2019 ,101627.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 *rijklaar* airco | cr
renault,trafic,11800,nan,101627.0,Diesel ,Handgeschakeld ,Barneveld,Gelderland,DUTCH VANS,30 x renault trafic  airco cruise navi camera
mercedes,500,4000,2003 ,306446.0,Benzine ,Automaat ,Lisse,Zuid-Holland,Autobedrijf Van Nobelen,mercedes-benz e-klasse 500 elegance|opknapper/export
volkswagen,gti,13350,2015 ,164901.0,Benzine ,Handgeschakeld ,Waalwijk,Noord-Brabant,SK Occasion,volkswagen polo 1.8 tsi gti dsg pano led lmv pdc elek
aixam,crossover,16699,2023 ,1.0,Diesel ,Automaat ,Beek,Limburg,Garage Kaal & Buunk - Aixam,nieuwe 2023 model van aixam / crossover suv hoge instap
audi,500c,8950,2014 ,90946.0,Benzine ,Handgeschakeld ,Waddinxveen,Zuid-Holland,Autobedrijf Tanis,fiat 500c 1.2 popstar airco-lmv-audio/cd-lmv-cabriolet
volkswagen,golf,22900,2017 ,56300.0,Benzine ,Handgeschakeld ,Monnickendam,Noord-Holland,roy,"volkswagen golf 7.5 3x r line 1.4 ,virtual cockpit , keyless"
volkswagen,golf,3650,2007 ,220168.0,Benzine ,Handgeschakeld ,Vaassen,Gelderland,HSV Auto's,volkswagen golf plus 1.4 16v tsi sportline airco lm org nl 2
audi,q3,37999,2019 ,85707.0,Benzine ,Automaat ,Tilburg,Noord-Brabant,Van Geffen Voertuigen,audi q3 35 tfsi 3x s line leer camera led 1e eigenaar dealer
audi,a1,11995,2011 ,159785.0,Benzine ,Automaat ,Maarssen,Utrecht,Mensink,audi a1 1.4tfsi 132kw s-tronic 2x s-line 185pk >modificatie<
bmw,coupe,19900,2002 ,127200.0,Benzine ,Automaat ,'s-Gravenhage,Zuid-Holland,erwin,bmw z3 coupe 2002 3.0 aut
mercedes,sprinter,14700,2012 ,230520.0,Diesel ,Automaat ,Barneveld,Gelderland,DUTCH Vans,mercedes-benz sprinter bestelbus 319 3.0v6 cdi automaat l2h2
bmw,x5,1758,2020 ,36674.0,Diesel ,Automaat ,Veenendaal,Utrecht,ROS finance,bmw x5 m50d | 7-persoons | origineel nl | sky lounge | panor
volkswagen,e-golf,333,2017 ,85529.0,Overige brandstoffen ,Automaat ,Veenendaal,Utrecht,ROS finance,volkswagen e-golf e-golf | camera | apple carplay | navigati
peugeot,208,218,2020 ,62543.0,Benzine ,Handgeschakeld ,Veenendaal,Utrecht,ROS finance,peugeot 208 1.2 puretech active | navigatie | 4-seizoensband
renault,captur,151,2018 ,185325.0,Benzine ,Handgeschakeld ,Veenendaal,Utrecht,ROS finance,renault captur 0.9 tce limited | trekhaak | navigatie | crui
porsche,cayenne,626,2012 ,162865.0,Benzine ,Automaat ,Veenendaal,Utrecht,ROS finance,porsche cayenne 4.8 gts | sport chrono | leder/alcantara | c
audi,q5,879,2020 ,32765.0,Overige brandstoffen ,Automaat ,Veenendaal,Utrecht,ROS finance,audi q5 55 tfsi e 367pk 20inch 3x s-line luchtvering black o
fiat,500,5500,2010 ,92000.0,Benzine ,Handgeschakeld ,Weert,Limburg,Saes Trading,fiat 500 1.2 50 op voorraad
toyota,proace,275,2020 ,127300.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d l2h1 euro6 airco | cruisecontrol | par
toyota,proace,18900,2020 ,102633.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | park
toyota,proace,18700,2019 ,101627.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 *rijklaar* airco | cr
opel,gs,32950,2022 ,6544.0,Benzine ,Automaat ,Waddinxveen,Zuid-Holland,Autobedrijf Tanis,opel mokka 1.2 turbo gs line navigatie-half leer-camera-virt
ford,puma,27950,2021 ,16003.0,Hybride Elektrisch/Benzine ,Handgeschakeld ,Waddinxveen,Zuid-Holland,Autobedrijf Tanis,ford puma 1.0 ecoboost hybrid st-line x 126pk navigatie-b&os
renault,master,34508,2019 ,134779.0,Diesel ,Handgeschakeld ,IJsselstein,Utrecht,DTC Lease,"renault master | bestelwagen| occasions| v.a. €345,08 p.m."
hyundai ,kona,27950,2022 ,14437.0,Benzine ,Handgeschakeld ,Waddinxveen,Zuid-Holland,Autobedrijf Tanis,hyundai kona 1.0 t-gdi fashion fabrieksgarantie-navigatie-ca
volkswagen,iq,39999,2022 ,1502.0,Benzine ,Automaat ,Tilburg,Noord-Brabant,Car Store Tilburg,volkswagen polo 2.0 tsi gti pano virtual iq light camera
mercedes,200,621,2018 ,39945.0,Benzine ,Automaat ,Veenendaal,Utrecht,ROS finance,mercedes-benz a-klasse 200 *amg edition 1* panoramadak / led
volkswagen,transporter,289,2015 ,152512.0,Diesel ,Automaat ,Veenendaal,Utrecht,ROS finance,volkswagen transporter 2.0 tdi 180pk l2h1 dc comfortline *au
suzuki,s-cross,383,2017 ,28455.0,Benzine ,Automaat ,Veenendaal,Utrecht,ROS finance,suzuki s-cross 1.4 boosterjet exclusive *slechts 28.455 km*
peugeot,208,231,2020 ,84792.0,Benzine ,Handgeschakeld ,Veenendaal,Utrecht,ROS finance,"peugeot 208 1.2 puretech 102pk *apple carplay* ecc clima, cr"
toyota,proace,20900,2020 ,84738.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | 3-zi
citroen,c4,233,2018 ,97031.0,Benzine ,Handgeschakeld ,Veenendaal,Utrecht,ROS finance,citroen c4 cactus 1.2 puretech *facelift* navigatie ecc clim
volkswagen,t-roc,37999,2022 ,23981.0,Benzine ,Automaat ,Tilburg,Noord-Brabant,Car Store Tilburg,volkswagen t-roc 1.5 tsi sport 3x r line virtual pano keyles
volkswagen,gti,25999,2019 ,70612.0,Benzine ,Automaat ,Tilburg,Noord-Brabant,Car Store Tilburg,volkswagen polo 2.0 tsi gti pano/virtual/camera/beats/acc
ford,transit,275,2017 ,19648.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect |
volkswagen,golf,18500,2014 ,165000.0,Benzine ,Automaat ,Venray,Limburg,Jochems,volkswagen golf 2.0 tsi 162kw 5d dsg 2014 grijs
ford,transit,20700,2018 ,54953.0,Diesel ,Handgeschakeld ,Barneveld,Gelderland,DUTCH Vans,ford transit bestelbus 2.0tdci 130pk l3h2 | wit
honda,civic,11850,2012 ,85981.0,Benzine ,Handgeschakeld ,Voorschoten,Zuid-Holland,Autobedrijf Van Altena,honda civic 1.8 i-vtec / 141 pk / ecc / elek pakket / stuurb
volvo,v60,15450,2011 ,161244.0,Benzine ,Handgeschakeld ,Nijkerk,Gelderland,Valk automotive,volvo v60 t5 summum schuifdak - camera - pdc - stoelverw
