Make,Model,Price,Year,Ran,Location,Province,Seller,Title
audi,a3,14499,2016 ,153000.0,Almere,Flevoland,Alp Yanar,audi a3 1.4 tfsi 110kw sb s-tronic 2016 zwart
mercedes,vito,15700,2017 ,158537.0,Barneveld,Gelderland,DUTCH Vans,mercedes-benz vito bestelbus lang comfort | achterdeuren |
volkswagen,golf,8000,2014 ,184100.0,Elburg,Gelderland,Harold,volkswagen golf 1.6 tdi 81kw 5d blue motion 2014 zwart
hyundai ,i,9900,2011 ,179900.0,Wanroij,Noord-Brabant,M,hyundai ix35 2.0 i cvvt 2wd aut 2011 zwart
volkswagen,up!,5750,2013 ,180183.0,Etten-Leur,Noord-Brabant,H el Mesaoudi,volkswagen up! 1.0 bluemotion 44kw/60pk 2013 zwart /5-drs
mercedes,500,69900,2016 ,76968.0,Amstelveen,Noord-Holland,Legmeer Automotive,"mercedes-benz s-klasse 500 (456pk) pano, btw, dist+, burmest"
audi,a6,21950,2011 ,204825.0,Hengelo,Gelderland,Dors,audi a6 3.0tfsi 300pk avant quattro s-line goed in de opties
volkswagen,polo,22940,2021 ,10000.0,Schiedam,Zuid-Holland,Willem,volkswagen polo 2021 dsg garantie 3j | carplay | camera | lane | acc
opel,corsa,5950,2011 ,139167.0,Enter,Overijssel,Rudy Van De Ven Auto's,opel corsa color race 1.4 16v 5 deurs hele speciale uitvoeri
opel,corsa,7999,2016 ,116235.0,Enter,Overijssel,Rudy Van De Ven Auto's,opel corsa 1.4-16v design edition 5 deurs zwart airco
ligier,rc,10950,2015 ,24162.0,Beek,Limburg,Garage Kaal & Buunk,ligier f8 rc coupe- 2015- incl.3mnd garantie en onderhoud
mercedes,vito,15700,2017 ,158537.0,Barneveld,Gelderland,DUTCH Vans,mercedes-benz vito bestelbus lang comfort | achterdeuren |
volkswagen,golf,15750,2015 ,208248.0,Hoofddorp,Noord-Holland,RvdL,"volkswagen golf gte 19"" 280pk * stage 1 * pano * keyless * leer *"
ford,fiesta,11999,2019 ,59833.0,Enter,Overijssel,Rudy Van De Ven Auto's,ford fiesta st line 5 deurs 100pk cruise controle
suzuki,s-cross,14450,2017 ,99851.0,Enter,Overijssel,Rudy Van De Ven Auto's,suzuki s-cross 1.0 boosterjet high executive super mooie aut
volkswagen,polo,4750,2011 ,173500.0,Amersfoort,Utrecht,Engelen,volkswagen polo 1.2 tdi 55kw bm 2011 blauw
toyota,proace,22800,2021 ,41718.0,Langerak,Drenthe,Van der Wal Vans,toyota proace 2.0d-4d 123pk l3h1 xl extra lang euro6*rijklaa
hyundai ,kona,16500,2019 ,49642.0,Enter,Overijssel,Rudy Van De Ven Auto's,hyundai kona 1.0 t-gdi i-drive 120pk 1e eigenaar airco cruis
volvo,v40,8400,2013 ,130500.0,Zoetermeer,Zuid-Holland,mvanbuijtene,volvo v40 d2 1.6 31-12-2013 wit
tesla,100,55550,2017 ,140000.0,Valkenswaard,Noord-Brabant,Lounge040,tesla model x 100 kwh  (prijs inclusief btw)
audi,s4,22950,2012 ,205000.0,Mariahout,Noord-Brabant,Koen,audi s4 3.0 tfsi 245kw avant quattro aut 2012 zwart
mini,mini,5745,2010 ,186843.0,Alblasserdam,Zuid-Holland,Peter,"mooie & betrouwbare mini one! (volle tank, zomerbanden erbij"
volkswagen,caddy,23000,2017 ,50000.0,"Zoersel , BE",In every province,Daan Broecks,volkswagen caddy
toyota,yaris,2950,2000 ,134617.0,Putten,Gelderland,STM Auto's,toyota yaris 1.3-16v vvt-i luna stuurbekrachtiging *nette au
peugeot,208,5850,2014 ,137254.0,Nijkerk,Gelderland,Valk automotive,peugeot 208 1.2 vti 82pk  airco-trekhaak-cruise control
ford,s-max,6750,2009 ,188072.0,Putten,Gelderland,STM Auto's,ford s-max 2.0-16v ecc cruisecontrol lm velgen trekhaak*deal
mini,cooper,9950,2011 ,157166.0,Putten,Gelderland,STM Auto's,mini mini 1.6 cooper s chili 184 pk! ecc cruisecontrol leer
volkswagen,golf,56950,2021 ,22918.0,Waalwijk,Noord-Brabant,Autobedrijf Jong ijzer,volkswagen golf 2.0 tsi r 4m performance akra headup harman
chrysler,coupe,37900,1956 ,94418.0,Veenoord,Drenthe,Autobedrijf Robert Wagner,chrysler nassau coupe 1956 gerestaureerd nl-kenteken
chevrolet,corvette,36900,1978 ,84752.0,Veenoord,Drenthe,Autobedrijf Robert Wagner,chevrolet corvette 1978 pace car all original matching # km/
citroen,c3,4940,2014 ,101246.0,Best,Noord-Brabant,Frank Ven auto's,citroen c3 1.0 vti collection/airco/5drs/nap/lees tekst!
citroen,c1,2250,2006 ,146214.0,Tilburg,Noord-Brabant,Wouter,citroen c1 1.0 3-drs 2006 rood incl nieuwe all-season banden
mini,cooper,4995,2005 ,179764.0,Sint-Michielsgestel,Noord-Brabant,T. v. Boven,mini cooper s 2005 panoramadak  originele nl auto met nap
volkswagen,transporter,28950,2018 ,290000.0,Amsterdam,Noord-Holland,Ömer,volkswagen transporter t6 highline -cng/aardgas-204pk- 9pers
ford,transit,12500,2013 ,165000.0,Nieuw-Roden,Drenthe,M Buma,ford transit custom 2.2 tdci 74kw 2013
volkswagen,polo,9450,2017 ,179200.0,Opeinde,Fryslân,allert,volkswagen polo 1.0 tsi 2017 25 mnd apk! dab+ connected  5d
toyota,proace,22800,2021 ,41718.0,Langerak,Drenthe,Van der Wal Vans,toyota proace 2.0d-4d 123pk l3h1 xl extra lang euro6*rijklaa
aixam,crossline,8950,2009 ,34646.0,Beek,Limburg,Garage Kaal & Buunk,aixam crossline -2009- incl. 3 mnd garantie +onderhoudsbeurt
volkswagen,golf,16100,2015 ,130000.0,Tilburg,Noord-Brabant,Wenda Wams,volkswagen golf 7 1.4 tsi 3x r-line
peugeot,208,799998,2014 ,88200.0,Soest,Utrecht,Arkin,peugeot 208 1.2 vti | stoelverwarming | 60kw/82pk 2014 wit
audi,e-tron,59950,2019 ,55000.0,Breda,Noord-Brabant,Juul,audi e-tron 55 quattro 360pk 2019 zwart
volkswagen,beetle,19950,2013 ,100503.0,Voorschoten,Zuid-Holland,Autobedrijf Van Altena,volkswagen beetle cabriolet 1.2 tsi design / aut / leder / a
alfa romeo,giulia,29950,2017 ,143673.0,Voorschoten,Zuid-Holland,Autobedrijf Van Altena,alfa romeo giulia 2.0 t awd veloce / 280 pk / aut / sportsto
audi,a4,26500,2017 ,10600.0,Rotterdam,Zuid-Holland,wali,audi a4 2.0 tdi ultra 140kw av s-tr7 2017 wit
ford,fiesta,15950,2018 ,85650.0,Vianen,Noord-Brabant,Automotive Experience,ford fiesta 1.0 ecoboost st line 140pk led navi
volkswagen,golf,4250,2002 ,175000.0,Leerbroek,Utrecht,johan,volkswagen golf 1.8 20v 110kw 2002 grijs
bmw,z4,14950,2003 ,202741.0,Voorschoten,Zuid-Holland,Autobedrijf Van Altena,bmw z4 roadster 2.5i s / aut / 6 cilinder / leder / airco /
ford,fiesta,10500,2019 ,125500.0,Munstergeleen,Limburg,Bijmij,ford fiesta 1.1 85pk 5dr 2019 wit
bmw,x5,34500,2017 ,99200.0,Oss,Noord-Brabant,KG handelsonderneming,bmw x5 m-pakket xdrive 311pk grijs kenteken
mercedes,sprinter,15800,nan,99200.0,Barneveld,Gelderland,DUTCH VANS,35 x mercedes sprinter nieuw en gebruikt! direct leverbaar!!
bmw,3-serie,13650,2008 ,173806.0,Huizen,Noord-Holland,Carpix,"bmw 3-serie 320i cabrio, high executive dealer onderhouden"
hyundai ,i20,2750,2010 ,199998.0,Enter,Overijssel,Rudy Van De Ven Auto's,hyundai i20 1.2i activeversion parkeersensoren trekhaak nieu
volkswagen,polo,4750,2010 ,208000.0,Enschede,Overijssel,NT,volkswagen polo 1.2 tdi 55kw bm 2010 grijs
volkswagen,90,23990,2022 ,32541.0,Zeewolde,Flevoland,Steven,"volkswagen transporter, 2.0tdi 90 pk, 1 jaar oud, btw auto"
aixam,crossline,8950,2009 ,34646.0,Beek,Limburg,Garage Kaal & Buunk,aixam crossline -2009- incl. 3 mnd garantie +onderhoudsbeurt
volvo,s40,1750,2003 ,262542.0,Hazerswoude-Dorp,Zuid-Holland,Autobedrijf van der Laan,volvo s40 1.8 2003 blauw
volvo,v40,14899,2014 ,91712.0,Enter,Overijssel,Rudy Van De Ven Auto's,volvo v40 1.5 t2 momentum cruise controle navigatie xenon
volkswagen,amarok,39900,2017 ,72232.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,volkswagen amarok 3.0 tdi v6 4motion plus cab r-line+ comfor
mitsubishi,outlander,26900,2019 ,172843.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,mitsubishi outlander 2.4 phev 4x4 instyle+ aut- incl btw com
volvo,v60,18900,2014 ,203476.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,volvo v60 2.4 d6 awd plug-in hybrid summum blackline- incl b
skoda,octavia,16900,2018 ,132847.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"skoda octavia combi 1.4 tsi ambition business- sport leder,"
range,pilot,39945,nan,132847.0,Soest,Utrecht,Auto Smeeing Soest,10x polestar's 2 | performance | longe range | dual | pilot
volkswagen,caddy,22900,2020 ,44050.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"volkswagen caddy 2.0 tdi l1 r-line+ sport leder, cruise, cli"
opel,astra,15900,2018 ,142346.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"opel astra 1.0 turbo innovation sport interieur, navi, stuur"
mitsubishi,outlander,18900,2014 ,169349.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"mitsubishi outlander 2.0 phev instyle+ aut- incl btw, schuif"
toyota,auris,22900,2018 ,154127.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,toyota auris touring sports 1.8 hybrid dynamic aut- incl btw
ford,focus,13900,2018 ,149073.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"ford focus wagon 1.0 titanium- navi, park assist, clima, cru"
land rover,88,7500,1982 ,113000.0,"Malaga , ES",In every province,Sunshine Motors,"land rover 88 diesel, bj 1982, oldtimer, goede staat"
volkswagen,golf,12900,2013 ,159579.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"volkswagen golf variant 1.2 tsi highline- park assist, navi,"
volkswagen,crafter,24900,2017 ,206505.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"volkswagen crafter 35 2.0 tdi l2 highline aut- camera, navi,"
renault,trafic,32900,2021 ,33877.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"renault trafic 2.0 dci l2 sportline aut- dubbel cabine, 6 pe"
mercedes,vito,179,nan,33877.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,flexlease ---> ! 25x mercedes vito - ook dubbele cabine
mercedes,citan,17900,2018 ,100616.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,mercedes-benz citan 109 cdi extra lang amg night edition- ca
bmw,m,24900,2015 ,161600.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"bmw 5 serie 528i m performance aut- sport leder, park assist"
opel,vivaro,24900,2019 ,121297.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"opel vivaro 1.6 cdti l2h1 edition- dubbel cabine, 6 pers, ca"
mercedes,vito,24900,2016 ,125327.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"mercedes-benz vito 116 cdi extra lang prestige aut- camera,"
peugeot,208,5850,2014 ,137254.0,Nijkerk,Gelderland,Valk automotive,peugeot 208 1.2 vti 82pk  airco-trekhaak-cruise control
range,pilot,39945,nan,137254.0,Soest,Utrecht,Auto Smeeing Soest,10x polestar's 2 | performance | longe range | dual | pilot
mercedes,200,49900,2020 ,93056.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"mercedes-benz e-klasse 200 amg night edition aut- panodak, m"
volkswagen,caddy,34900,2021 ,61429.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"volkswagen caddy cargo 2.0 tdi 150pk r-line+ aut- xenon led,"
renault,trafic,11800,nan,61429.0,Barneveld,Gelderland,DUTCH VANS,30 x renault trafic  airco cruise navi camera
mitsubishi,outlander,17950,2013 ,121327.0,Heerhugowaard,Noord-Holland,Jo,mitsubishi outlander 2.0 dohc mivec phev 203pk 4wd cv 2013
ford,transit,19900,2018 ,96169.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"ford transit connect 1.5 tdci l2 sportline- 3 pers, camera,"
nissan,qashqai,19900,2017 ,150792.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"nissan qashqai 1.2 tekna 360 camera, panodak, xenon led, sfe"
opel,movano,13700,nan,150792.0,Barneveld,Gelderland,DUTCH VANS,10x opel movano airco navi camera trekhaak
mercedes,sc,34900,2018 ,137515.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,mercedes-benz vito 119 cdi lang amg night edition aut- 2x sc
citroën,c4,12900,2017 ,131179.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"citroën c4 cactus 1.2 puretech night edition- park assist,"
nissan,qashqai,20900,2017 ,112013.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"nissan qashqai 1.2 tekna- 360 camera, panodak, sfeerverlicht"
ford,transit,19750,2020 ,92330.0,Langerak,Drenthe,Van der Wal Vans,ford transit connect 1.5tdci l2h1 trend euro6 *rijklaar* air
volkswagen,transporter,29900,2017 ,218376.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,volkswagen transporter 2.0 tdi 204pk l2 highline+ aut- dubbe
ford,transit,16900,2016 ,197020.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"ford transit custom 290 2.2 tdci l2 edition- 3 pers, bluetoo"
mercedes,gle,79900,2019 ,25968.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,mercedes-benz gle 300 d 4matic amg night edition- alcantara
seat,ibiza,15900,2018 ,121541.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"seat ibiza 1.0 tgi fr-line carplay, clima, camera, park assi"
toyota,proace,304,2019 ,101627.0,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 *rijklaar* airco | cr
volkswagen,golf,44900,2021 ,30351.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"volkswagen golf 1.5 etsi r performance aut- harman kardon, p"
ford,transit,18900,2018 ,106877.0,Haarlem,Noord-Holland,Auto Service Haarlem B.V.,"ford transit connect 1.5 tdci l2 comfortline- 3 pers, navi,"
volkswagen,transporter,12500,2019 ,150000.0,Rotterdam,Zuid-Holland,Betty,volkswagen transporter koelwagen volkswagen koelwagen 20 stuks
dodge,ram,79950,2023 ,10.0,Nuland,Noord-Brabant,Millbrooks,"dodge ram 1500 5.7 v8 rebel night g/t e-torque, trx opties!"
toyota,proace,18400,2020 ,93679.0,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | 3-zi
volkswagen,polo,5445,2012 ,214975.0,Sint-Michielsgestel,Noord-Brabant,Steijger Autoservice,volkswagen polo 1.2 tdi r-line bmt comfortline 5-drs
volkswagen,amarok,9945,2013 ,390275.0,Sint-Michielsgestel,Noord-Brabant,Steijger Autoservice,volkswagen amarok 2.0 tdi 4motion plus btw vrij/bpm vrij
nissan,xe,8945,2010 ,287744.0,Sint-Michielsgestel,Noord-Brabant,Steijger Autoservice,nissan navara 2.5 dci 4wd xe king cab airco/lier/btw vrij
ford,ranger,9945,2013 ,230263.0,Sint-Michielsgestel,Noord-Brabant,Steijger Autoservice,ford ranger 2.2 tdci xl super cab 4wd bpm-vrij
toyota,proace,275,2020 ,127300.0,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d l2h1 euro6 airco | cruisecontrol | par
mini,cooper,4995,2005 ,179764.0,Sint-Michielsgestel,Noord-Brabant,T. v. Boven,mini cooper s 2005 panoramadak  originele nl auto met nap
opel,corsa,3945,2012 ,195075.0,Sint-Michielsgestel,Noord-Brabant,Steijger Autoservice,opel corsa 1.3 cdti 95pk ecoflex cosmo navi 5-drs
jeep,cherokee,8950,2014 ,265852.0,Sint-Michielsgestel,Noord-Brabant,Steijger Autoservice,jeep cherokee 2.0 crd longitude fixed export price
toyota,proace,300,2020 ,93679.0,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | 3-zi
audi,e-tron,56995,2022 ,4341.0,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,audi q4 sportback e-tron 35 52 kwh | binnen 14 dagen rijden
volkswagen,polo,23995,2022 ,15121.0,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,volkswagen polo 1.0tsi 95pk life | stoelverwarming | achteru
volkswagen,golf,24495,2020 ,45800.0,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,volkswagen golf variant 1.5 tsi 150pk comforttline | navigat
volkswagen,golf,33995,2021 ,27500.0,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,volkswagen golf 1.5 tsi 130pk r-line | 18 inch | navigatie |
toyota,proace,324,2020 ,89772.0,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 *rijklaar* airco | cr
skoda,fabia,21995,2022 ,18203.0,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,skoda fabia 1.0 tsi 95pk tsi ambition | climatronic | apple
skoda,80,63995,2023 ,1500.0,Zwijndrecht,Zuid-Holland,Ames Zwijndrecht,skoda enyaq iv 80 204pk sportline | direct uit voorraad leve
