Make,Model,Price,Year,Ran,Location,Province,Seller,Title
nissan,qashqai,17795,2016 ,78997.0,Genemuiden,Overijssel,Selles Autos Kamperzeedijk B.V.,nissan qashqai 1.2 connect edition | trekhaak | automaat | 3
jeep,renegade,24795,2019 ,67229.0,Genemuiden,Overijssel,Selles Autos Kamperzeedijk B.V.,jeep renegade 1.3t longitude | automaat | 8.4 navigatie | st
ford,im,10900,2016 ,183429.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk l2h1 airco | 3-zits | im
fiat,500,14695,2019 ,61851.0,Genemuiden,Overijssel,Selles Autos Kamperzeedijk B.V.,fiat 500 0.9 twinair turbo lounge | cabrio | climate & cruis
audi,a6,59995,2021 ,74207.0,Amstelveen,Noord-Holland,Legmeer Automotive,"audi a6 avant 55 quattro s-line (367pk) pano, acc, lane"
ford,transit,313,2019 ,70981.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5 tdci 120 pk aut. trend 3 p/ cruis
mini,cooper,21900,2016 ,123791.0,Amstelveen,Noord-Holland,Legmeer Automotive,"mini cooper s (jcw) pano, jcw pro uitlaat, hk, headup"
mercedes,500,69995,2016 ,76968.0,Amstelveen,Noord-Holland,Legmeer Automotive,"mercedes-benz s-klasse 500 (456pk) pano, btw, dist+, burmest"
volkswagen,golf,23995,2014 ,124789.0,Amstelveen,Noord-Holland,Legmeer Automotive,"volkswagen golf 2.0 gti performance (230pk) nl, pano, leer,"
volkswagen,crafter,7500,2010 ,255000.0,Apeldoorn,Gelderland,Mark saam,volkswagen crafter 2010
ford,transit,308,2020 ,45333.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5tdci 100pk l2h1 trend euro6 *rijkl
gmc,explorer,37800,2011 ,407261.0,Veghel,Noord-Brabant,Sebastiaan,2011 gmc savana explorer camper 5.3 rr/se 299 pk  lpg
volkswagen,tiguan,26695,2017 ,72450.0,Almere,Flevoland,D.Moens,volkswagen tiguan 1.4 tsi cl bns - digitaal-panorama-leer
volvo,xc90,6999,2007 ,374444.0,Geleen,Limburg,Roger,volvo xc90 2.4 d5 geartronic 7-seater uit 2007
mercedes,200,22950,2017 ,63572.0,Etten-Leur,Noord-Brabant,Smeulen Autos B.V.,mercedes-benz cla-klasse 200 prestige amg pano/h&k/stoelverw
ford,transit,321,2020 ,92330.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5tdci l2h1 trend euro6 *rijklaar* a
porsche,911,164950,2021 ,5561.0,Veenendaal,Utrecht,Ros Automotive,porsche 911 3.0 carrera s schuifdak | dealerauto | sportchro
bmw,x5,99950,2022 ,82.0,Veenendaal,Utrecht,Ros Automotive,bmw x5 xdrive45e high executive nieuw! | m-sport| harman kar
bmw,cabrio,35950,2020 ,21203.0,Veenendaal,Utrecht,Ros Automotive,bmw 2 serie cabrio 218i high executive memory-seat | parkeer
citroën,500,356,2014 ,58663.0,Heel Nederland,In every province,Regeljelease.nl,citroën berlingo | 1.6 e-hdi 500 club economy
volvo,v60,34950,2019 ,125785.0,Dronten,Flevoland,FLEVO Mobiel,volvo v60 2.0 t6 awd 310pk inscription aut.pano|leder|navi|a
audi,quattro,53950,2014 ,145300.0,Veenendaal,Utrecht,Ros Automotive,audi rs7 sportback 4.0 tfsi rs 7 quattro pro line plus | ful
mini,cooper,31750,2021 ,10476.0,Veenendaal,Utrecht,Ros Automotive,mini cooper | 5-deurs | adaptive cruise control | schuif/kan
mercedes,citan,196,2015 ,141304.0,Heel Nederland,In every province,Regeljelease.nl,mercedes-benz citan | 109 cdi blueefficiency
ford,transit,286,2016 ,94501.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk lang 3pers. / cruisecont
volkswagen,caddy,316,2018 ,157907.0,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l1h1
citroën,berlingo,211,2018 ,127139.0,Heel Nederland,In every province,Regeljelease.nl,"citroën berlingo | automaat 1.6 bluehdi 100pk l2h1 marge, bt"
mercedes,citan,259,2020 ,36802.0,Heel Nederland,In every province,Regeljelease.nl,mercedes-benz citan | 109 cdi
mercedes,glc,67950,2021 ,22847.0,Veenendaal,Utrecht,Ros Automotive,mercedes-benz glc coupé 300e 4matic amg-line burmester | ca
bmw,cabrio,39250,2018 ,39544.0,Veenendaal,Utrecht,Ros Automotive,bmw 4 serie cabrio 420i high executive | btw auto | navi | c
porsche,911,99950,2017 ,110330.0,Veenendaal,Utrecht,Ros Automotive,porsche 911 3.0 carrera 4s | volledig xpel | keramisch | dea
porsche,macan,44950,2016 ,92720.0,Veenendaal,Utrecht,Ros Automotive,porsche macan 3.0 d s | luchtvering | pano/schuifdak | sport
fiat,fiorino,9650,2018 ,82634.0,Emmen,Overijssel,Hans Automotive,fiat fiorino 1.3 mj sx airco pdc navigatie elektrpak €165pm
kia ,gt,25750,2019 ,51192.0,Veenendaal,Utrecht,Ros Automotive,kia ceed 1.6 t-gdi gt | memory-seat | jbl-sound | 4x stoelv
alfa romeo,giulia,52950,2017 ,130800.0,Veenendaal,Utrecht,Ros Automotive,alfa romeo giulia 2.9 v6 quadrifoglio | carbon-pack | stoelv
volkswagen,golf,21450,2018 ,90200.0,Veenendaal,Utrecht,Ros Automotive,volkswagen golf 1.0 tsi trendline | r-line | pano | dynamisc
mercedes,500,54950,2016 ,142435.0,Veenendaal,Utrecht,Ros Automotive,"mercedes-benz gl-klasse 500 4-matic | np €219.200,- | schu"
mercedes,108,178,2018 ,110530.0,Heel Nederland,In every province,Regeljelease.nl,mercedes-benz citan | 108 cdi blueefficiency l1h1
bmw,m3,123950,2022 ,12342.0,Veenendaal,Utrecht,Ros Automotive,bmw 3 serie m3 xdrive competition sportstoelen | head-up | 3
mercedes,gt,149750,2018 ,10123.0,Veenendaal,Utrecht,Ros Automotive,mercedes-benz amg gt 4.0 c | 50 years edition | magno-grey |
bmw,x1,47950,2022 ,6109.0,Veenendaal,Utrecht,Ros Automotive,bmw x1 sdrive20i m-sport | top staat! | m-sport | head-up |
volkswagen,caddy,194,2016 ,182298.0,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy maxi | 2.0 tdi l2h1
mini,cooper,45950,2021 ,15039.0,Veenendaal,Utrecht,Ros Automotive,mini cabrio 2.0 john cooper works jcw pack | nieuw model | h
audi,a6,61950,2019 ,76240.0,Veenendaal,Utrecht,Ros Automotive,audi a6 55 tfsi quattro design pro line plus | vol! | 360 gr
bmw,m2,56950,2019 ,46296.0,Veenendaal,Utrecht,Ros Automotive,bmw 2 serie coupé m2 dct competition | 100% onderhouden | h
seat,ateca,45750,2021 ,21631.0,Veenendaal,Utrecht,Ros Automotive,seat ateca 2.0 tsi 4drive fr business intense | full option
volkswagen,caddy,222,2016 ,108598.0,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l2h1 maxi kasteninbouw
bmw,cabrio,58950,2021 ,9584.0,Veenendaal,Utrecht,Ros Automotive,bmw 4 serie cabrio 420i high executive | full option | harma
porsche,macan,84950,2020 ,91953.0,Veenendaal,Utrecht,Ros Automotive,porsche macan 3.0 s | nl-auto | full-option! | pano | 360 ca
mini,countryman,6550,2011 ,261458.0,Almere,Flevoland,KOOPJESS!!! GOEDKOOPEXPORT,mini countryman 1.6 cooper s 2011 wit | pano | koopje
volkswagen,caddy,238,2019 ,140948.0,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy maxi | 2.0 tdi l2h1
mercedes,glc,92950,2021 ,37946.0,Veenendaal,Utrecht,Ros Automotive,mercedes-benz glc 43 amg 4matic premium plus | nieuw model!
porsche,911,187750,2021 ,6134.0,Veenendaal,Utrecht,Ros Automotive,porsche 911 cabrio 3.0 carrera s | nieuwstaat! | bose | stoe
bmw,x3,39750,2018 ,80155.0,Veenendaal,Utrecht,Ros Automotive,bmw x3 xdrive20d high executive | stuurv | stoelverw | head-
bmw,x5,86950,2020 ,97301.0,Veenendaal,Utrecht,Ros Automotive,bmw x5 xdrive45e high executive | bom vol! | btw | sky-loung
ford,im,10900,2016 ,183429.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk l2h1 airco | 3-zits | im
volkswagen,caddy,260,2016 ,142693.0,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l1h1 bmt highline
mercedes,citan,269,2018 ,53871.0,Heel Nederland,In every province,Regeljelease.nl,"mercedes-benz citan | 112 ambition automaat , airco"
mercedes,citan,259,2020 ,48270.0,Heel Nederland,In every province,Regeljelease.nl,mercedes-benz citan | 109 cdi
ford,im,241,2016 ,183429.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk l2h1 airco | 3-zits | im
bmw,x5,86950,2020 ,97301.0,Veenendaal,Utrecht,Ros Automotive,bmw x5 xdrive45e high executive | bom vol! | btw | sky-loung
audi,a4,43750,2020 ,38201.0,Veenendaal,Utrecht,Ros Automotive,audi a4 avant 35 tfsi launch edition sport | 150 pk | pano/s
ford,transit,248,2017 ,116451.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5 tdci l2h1
mercedes,glc,69950,2021 ,9254.0,Veenendaal,Utrecht,Ros Automotive,mercedes-benz glc coupé 300 4matic premium plus | burmester
audi,a6,68950,2016 ,111237.0,Veenendaal,Utrecht,Ros Automotive,audi a6 avant 4.0 tfsi rs 6 quattro pro line plus | top staa
volkswagen,tiguan,31950,2020 ,109333.0,Veenendaal,Utrecht,Ros Automotive,volkswagen tiguan 1.5 tsi elegance | btw-auto | 7 - persoons
opel,combo,276,2019 ,59976.0,Heel Nederland,In every province,Regeljelease.nl,opel combo | 1.5d l2h1 edition
porsche,boxster,54950,2016 ,124299.0,Veenendaal,Utrecht,Ros Automotive,porsche 718 boxster 2.0 | top staat! | dealer onderhouden |
mercedes,glc,65950,2020 ,37752.0,Veenendaal,Utrecht,Ros Automotive,mercedes-benz glc 300e 4matic premium plus | schuifdak | 360
volkswagen,touareg,32950,2012 ,138189.0,Veenendaal,Utrecht,Ros Automotive,volkswagen touareg 4.2 v8 tdi | r- line | memory seats | pan
mercedes,200,63950,2022 ,13408.0,Veenendaal,Utrecht,Ros Automotive,mercedes-benz c-klasse 200 amg line | premium-pakket | burme
ford,transit,183,2017 ,133964.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5 tdci trend e6 cruise/ carplay/ na
lexus,ct,16750,2014 ,92000.0,Koog aan de Zaan,Noord-Holland,crocodile2u,lexus ct 200h 1.8 hybrid 2014 grijs
volvo,v40,13950,2016 ,127000.0,Amsterdam,Noord-Holland,R.M.C. de Waard,"volvo v40 d2 nordic+ luxury 18"", harman kardon, rica 175pk"
dodge,ram,99950,2023 ,10.0,Nuland,Noord-Brabant,Millbrooks,"dodge ram 2500 powerwagon 6.4l v8 hemi, 2023 model, digitaal"
citroen,c1,4440,2013 ,101358.0,Best,Noord-Brabant,Frank Ven auto's,citroen c1 1.0 tendance/bj2013/nw model/5drs/nw apk/oh beurt
volkswagen,caddy,297,2017 ,77027.0,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l1h1 bmt comfortline
kia ,sportage,3745,2005 ,184586.0,Schoonebeek,Drenthe,Auto Hoff,kia sportage 2.0 cvvt executive | autom. airco | cruise cont
citroën,c5,1745,2002 ,228142.0,Schoonebeek,Drenthe,Auto Hoff,citroën c5 2.0-16v exclusive automaat | xenon | autom. airc
opel,combo,269,2020 ,150382.0,Heel Nederland,In every province,Regeljelease.nl,opel combo | 1.5d l2h1 edition / 102 pk / navigatie / cruise
honda,civic,3945,2005 ,148675.0,Schoonebeek,Drenthe,Auto Hoff,honda civic 1.4i bar sport | airco | lmv | elekt. ramen | ap
citroen,c4,3699,2011 ,174055.0,Deventer,Overijssel,Mobiliteits Service Evert B.V.,citroen c4 picasso thp 155 selection zeer nette auto rijd en
audi,q5,16499,2013 ,222138.0,Deventer,Overijssel,Mobiliteits Service Evert B.V.,audi q5 3.0 tdi quattro pro line s bomvolle audi s line rijd
toyota,avensis,4849,2009 ,292791.0,Deventer,Overijssel,Mobiliteits Service Evert B.V.,toyota avensis wagon 2.0 d-4d-f panoramic nw mod en top onde
ford,transit,18900,2020 ,45333.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5tdci 100pk l2h1 trend euro6 *rijkl
ford,im,241,2016 ,183429.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk l2h1 airco | 3-zits | im
peugeot,partner,243,2019 ,46050.0,Heel Nederland,In every province,Regeljelease.nl,peugeot partner | 1.6 bluehdi premium
peugeot,partner,161,2017 ,117043.0,Heel Nederland,In every province,Regeljelease.nl,peugeot partner | 122 1.6 bluehdi l1h1
toyota,proace,20900,2020 ,84738.0,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | 3-zi
audi,ct,19995,2017 ,169592.0,Elst,Noord-Brabant,Casper,lexus ct 200h launch edition | premium audio/ navi |
mercedes,sprinter,537,2020 ,64840.0,Veenendaal,Utrecht,ROS finance,mercedes-benz sprinter 314 cdi 140pk l2h2 airco cruise camer
opel,astra,6750,2010 ,184311.0,Zandpol,Drenthe,Harry Vink Auto's,opel astra 1.4 turbo edition | apk 6-2023 | nav | parkeersen
opel,movano,31353,2019 ,184551.0,IJsselstein,Utrecht,DTC Lease,"opel movano | bestelwagen| occasions| v.a. €313,53 p.m."
peugeot,expert,195,2017 ,152069.0,Veenendaal,Utrecht,ROS finance,peugeot expert 1.6 bluehdi euro 6 - airco - cruise - imperia
peugeot,100,138,2018 ,164209.0,Veenendaal,Utrecht,ROS finance,"peugeot partner 120 1.6 bluehdi 100 l1 premium, airco, cruis"
renault,master,14850,2015 ,164938.0,Westzaan,Noord-Holland,Kieser,renault master dubbele cabine dc 2015 l2h2 navigatie enz.
ford,fiesta,13600,2018 ,156986.0,Capelle aan den IJssel,Zuid-Holland,Select Autocentrum,ford fiesta 1.0 ecoboost st-line *nieuw model* | navi | crui
fiat,ducato,397,2019 ,33428.0,Heel Nederland,In every province,Regeljelease.nl,fiat ducato | 35 2.3 mj 130 pk l4h2 3.0t trekverm./ 270gr.de
volkswagen,touran,3250,2006 ,175467.0,Lekkerkerk,Zuid-Holland,Autoplaza Krimpenerwaard,volkswagen touran 1.6-16v fsi optive iairco/ cruise
ram,107,3499,2010 ,208547.0,Lekkerkerk,Zuid-Holland,Autoplaza Krimpenerwaard,peugeot 107 1.0-12v xs electrische ramen/automaat/nieuwe apk
peugeot,partner,4999,2012 ,200333.0,Lekkerkerk,Zuid-Holland,Autoplaza Krimpenerwaard,peugeot partner 120 1.6 e-hdi l1 xt profit + 2tronic automaa
toyota,yaris,5750,2011 ,103926.0,Lekkerkerk,Zuid-Holland,Autoplaza Krimpenerwaard,toyota yaris 1.3 vvt-i comfort airco/aux/5d/nieuwe apk
citroën,berlingo,7800,2013 ,188020.0,Heel Nederland,In every province,Finalease.nl,citroën berlingo 1.6 e-hdi l1h1 aut airco cruise €151pm
audi,a3,22750,2016 ,122718.0,Venlo,Limburg,SH Automotive,audi a3 sportback 1.4 tfsi pro facelift / 2x s-line / virtua
volkswagen,polo,8750,2011 ,53566.0,Goor,Noord-Brabant,R.knops,volkswagen polo 1.2 tsi  105 pk. weinig km 6 versnelling
opel,karl,8700,2017 ,49108.0,Zoetermeer,Zuid-Holland,INS Autowereld,opel karl viva pdc/bluetooth/cruise/elektrisch-pakket zo goe
audi,q3,16450,2013 ,128452.0,Eindhoven,Noord-Brabant,Covero,audi q3 2.0 tdi quattro s-line (2x) automaat panoramadak!
renault,master,333,2016 ,104064.0,Heel Nederland,In every province,Regeljelease.nl,renault master | 2.3 dci automaat lowliner verkoopwagen
volkswagen,jetta,7990,2011 ,90000.0,Rheden,Gelderland,H Bosman -  mooie spullen :-),volkswagen jetta 1.2tsi 77kw h6 2011 grijs - distr. goed
volvo,v70,11945,2008 ,220949.0,Druten,Gelderland,Driessen Auto’s Druten BV,volvo v70 2.5t momentum leer / youngtimer / navi
volkswagen,up!,4999,2013 ,193382.0,Deventer,Overijssel,Mobiliteits Service Evert B.V.,volkswagen up ! 1.0 60pk bmt high up! zeer nette auto das le
volkswagen,caddy,28700,2021 ,21367.0,Barneveld,Gelderland,DUTCH Vans,volkswagen caddy maxi bestelbus 2.0tdi edition | airco |
peugeot,partner,243,2019 ,46050.0,Heel Nederland,In every province,Regeljelease.nl,peugeot partner | 1.6 bluehdi premium
peugeot,partner,161,2017 ,117043.0,Heel Nederland,In every province,Regeljelease.nl,peugeot partner | 122 1.6 bluehdi l1h1
toyota,proace,20900,2020 ,84738.0,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | 3-zi
hummer,h2,17999,2003 ,171070.0,Deventer,Overijssel,Mobiliteits Service Evert B.V.,hummer h2 h2 nette auto met 6 plaatsen rijd en schakelt goed
volkswagen,golf,15950,2017 ,44600.0,Hoogblokland,Zuid-Holland,bart,volkswagen golf vii 1.4 tsi 125pk 5d 2017 wit
bmw,5-serie,42750,2013 ,129429.0,Almere,Flevoland,Used Car Store Almere,bmw 5-serie m5*individual*azuritschwarz*origineel nl*2013*n.
audi,a6,21999,2012 ,268988.0,Nieuwerkerk aan den IJssel,Zuid-Holland,Paul,audi a6 3.0 bitdi avant s-line quattro  pano competition
mercedes,108,11250,2019 ,135223.0,Emmen,Overijssel,Hans Automotive,mercedes-benz citan 108 cdi airco cruise elektrpakket €193pm
opel,meriva,2750,2004 ,203932.0,Zandpol,Drenthe,Harry Vink Auto's,opel meriva 1.6-16v enjoy | airco | automaat | apk 2-2024! |
mercedes,vito,8950,2008 ,323500.0,Budel-Schoot,Noord-Brabant,DB,dikke mercedes vito brabus*3.0 v6*5prs*nap*!!
subaru,legacy,3999,2006 ,429082.0,Zandpol,Drenthe,Harry Vink Auto's,subaru legacy 2.0r | automaat | 1e eigenaar | lpg | apk 9-20
renault,kangoo,8950,2020 ,198683.0,Emmen,Overijssel,Hans Automotive,renault kangoo 1.5 energy | airco navi pdc eco €138pm
audi,q3,41500,2019 ,67230.0,Tilburg,Noord-Brabant,Van Geffen Voertuigen,audi q3 35 tfsi 3x s line pano camera 1e eigenaar audi black
renault,kangoo,5750,2013 ,219850.0,Zandpol,Drenthe,Harry Vink Auto's,renault kangoo express 1.5 dci 75 express comfort (bj 2013)
volkswagen,caddy,28700,2021 ,21367.0,Barneveld,Gelderland,DUTCH Vans,volkswagen caddy maxi bestelbus 2.0tdi edition | airco |
peugeot,208,7850,2012 ,78211.0,Zandpol,Drenthe,Harry Vink Auto's,peugeot 208 1.2 vti access | 5 deurs | cruise control | airc
kia ,picanto,14999,2022 ,4376.0,Groningen,Groningen,Car Refresh,kia picanto 1.0 dpi dynamicline 5 deur vol opties
volkswagen,touran,10999,2012 ,148657.0,Susteren,Limburg,Soleman,volkswagen touran 1.4 tsi 103kw dsg7 cross 2012 zwart
citroen,ds3,6250,2010 ,176862.0,Vaassen,Gelderland,HSV Auto's,citroen ds3 1.6 thp sport chic navi leer ecc org nl 2010
peugeot,expert,16450,2018 ,173702.0,Emmen,Overijssel,Hans Automotive,peugeot expert 2.0 hdi | airco cruise trekhaak pdc €283
peugeot,107,4250,2011 ,163149.0,Vaassen,Gelderland,HSV Auto's,peugeot 107 1.0 blue lease airco 4-deurs org nl 2011 wit
peugeot,108,9650,2018 ,25315.0,Didam,Gelderland,T.Jansen Automotive,peugeot 108 1.0 e-vti allure / keyless entry/clima/camera
renault,clio,6500,2015 ,197600.0,Breda,Noord-Brabant,jeff,renault clio 1.5 dci 66kw 5-drs 2015.  nieuw apk !
peugeot,partner,14450,2020 ,91211.0,Emmen,Overijssel,Hans Automotive,peugeot partner 1.6 bluehdi premium | airco pdc cruise €249
bmw,cabrio,30495,2014 ,142337.0,Almelo,Overijssel,Vice City Cars,bmw 4-serie 435i cabrio high executive/m-sport/harmankardon
volkswagen,tiguan,9385,2012 ,237000.0,Almelo,Overijssel,Vice City Cars,volkswagen tiguan 1.4 tsi sport&style navi/cruis/parkassiste
ford,transit,18450,2017 ,99112.0,Oss,Noord-Brabant,Danenhoef Auto's,ford transit connect 1.0 l2 maxi airco cruise camera 220v
volkswagen,touran,7595,2011 ,211765.0,Almelo,Overijssel,Vice City Cars,volkswagen touran 1.6 tdi 105pk bmt highline
ford,ranger,780,2021 ,55055.0,Heel Nederland,In every province,Regeljelease.nl,ford ranger | raptor 213 pk 4wd 10 traps aut!
renault,trafic,412,2016 ,111528.0,Heel Nederland,In every province,Regeljelease.nl,renault trafic | 1.6 dci t27 l1h1
ford,transit,12900,2016 ,130821.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk l2h1 airco | navigatie |
ford,transit,356,2019 ,107576.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5tdci 120pk automaat l2h1 euro6 air
ford,transit,21900,2019 ,107576.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5tdci 120pk automaat l2h1 euro6 air
bmw,x5,40950,2017 ,144000.0,Alteveer,Drenthe,M.Bekker,bmw x5 xdrive 30d 2017 zwart m- series uitgevoerd
porsche,cayenne,10500,2007 ,252125.0,Amsterdam,Noord-Holland,Rfa taxaties,porsche cayenne 3.6 tiptr. s 2007 facelift gekocht veiling
peugeot,expert,16450,2018 ,173702.0,Emmen,Overijssel,Hans Automotive,peugeot expert 2.0 hdi | airco cruise trekhaak pdc €283
volkswagen,golf,4499,2005 ,227961.0,Groningen,Groningen,Car Refresh,"volkswagen golf 2.0 fsi comfortline 4m airco, panoramadak"
volkswagen,polo,19850,2019 ,39500.0,Almelo,Overijssel,Lenferink Auto's B.V.,volkswagen polo 1.0 tsi highline 115pk clima apple carplay p
volkswagen,t-roc,28985,2019 ,51730.0,Vriezenveen,Overijssel,Gert Hekhuis auto's,volkswagen t-roc 1.5 tsi dsg r line camera navigatie led
renault,twingo,9950,2017 ,22900.0,Heemstede,Noord-Holland,Joris,renault twingo 1.0 sce 70 2017 rood
peugeot,partner,14450,2020 ,91211.0,Emmen,Overijssel,Hans Automotive,peugeot partner 1.6 bluehdi premium | airco pdc cruise €249
volkswagen,golf,9650,2011 ,160500.0,Venlo,Limburg,Lodewijk Rutten,volkswagen golf 2.0 gti 155kw 2011 zwart
renault,captur,29750,2022 ,19479.0,Volkel,Noord-Brabant,Autobedrijf v.d. Elzen,renault captur 1.3 tce intens
mercedes,108,15950,2021 ,79195.0,Emmen,Overijssel,Hans Automotive,mercedes-benz citan 108 cdi | airco trekhaak lat-om-lat €274
seat,arona,18950,2019 ,95971.0,Volkel,Noord-Brabant,Autobedrijf v.d. Elzen,seat arona 1.0 tsi style business intense
opel,mokka,11950,2013 ,186263.0,Volkel,Noord-Brabant,Autobedrijf v.d. Elzen,opel mokka 1.4 t cosmo
opel,grandland,19950,2018 ,99316.0,Volkel,Noord-Brabant,Autobedrijf v.d. Elzen,opel grandland x 1.6 cdti ultimate
peugeot,partner,7450,2014 ,169391.0,Emmen,Overijssel,Hans Automotive,peugeot partner 1.6 e-hdi cruise airco pdc navigatie €167pm
ford,fiesta,7100,2012 ,152664.0,Eindhoven,Noord-Brabant,paul van hugte,ford fiesta 1.6 16v 3dr 135pk!2012 wit
citroen,c3,999,2003 ,269764.0,Soesterberg,Utrecht,Occasion Center de Vries B.V.,citroen c3 1.1i ligne séduction elektr. pakket meeneemprijs
volkswagen,golf,35250,2021 ,40650.0,Tilburg,Noord-Brabant,Van Geffen Voertuigen,volkswagen golf 8 1.5 etsi r-line pano garantie 04-2025 sfee
nissan,qashqai,12500,2015 ,131000.0,Wieringerwerf,Noord-Holland,Administratie Wiringherlant,nissan qashqai 1.5 dci 81kw 2wd 2015 zwart
peugeot,partner,14450,2020 ,89176.0,Emmen,Overijssel,Hans Automotive,peugeot partner 1.5 bluehdi premium | airco cruise pdc €249
audi,s3,22500,2014 ,167000.0,Heino,Overijssel,Mitchelspringer,audi s3 2.0 tfsi zwart full option !!!
suzuki,swift,5244,2010 ,155452.0,Tilburg,Noord-Brabant,Dagdelen Auto's,suzuki swift 1.2 facelift nw model / airco / elektr pak / ap
volkswagen,gti,24950,2020 ,65000.0,Almelo,Overijssel,Mikho Automotive,volkswagen polo gti 2.0 2020 automaat|virtualcockpit|panoram
audi,q5,27900,2015 ,152435.0,Aalsmeer,Noord-Holland,CountryCars NL BV,audi q5 2.0 tfsi | s-line | leder/alcantara | nl auto |
peugeot,expert,17250,2016 ,187975.0,Emmen,Overijssel,Hans Automotive,peugeot expert 2.0 bluehdi premium airco cruise pdc nav €335
volkswagen,caddy,210,2017 ,75755.0,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l2h1 maxi kasteninbouw euro 6
volkswagen,caddy,241,2019 ,140614.0,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l1h1
ford,transit,286,2016 ,94501.0,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk lang 3pers. / cruisecont
volkswagen,caddy,316,2018 ,157907.0,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l1h1
volkswagen,golf,52900,2021 ,42840.0,Aalsmeer,Noord-Holland,CountryCars NL BV,volkswagen golf 8r 2.0 tsi 4motion | pano | harman kardon |
ford,focus,31900,2016 ,92697.0,Aalsmeer,Noord-Holland,CountryCars NL BV,ford focus rs 2.3 | recaro | camera | led |
land rover,rover,18900,2006 ,289301.0,Aalsmeer,Noord-Holland,CountryCars NL BV,land rover range rover 4.2 v8 supercharged | youngtimer | le
ford,transit,22250,2018 ,82182.0,Emmen,Overijssel,Hans Automotive,ford transit custom 320 2.0 l2h1 cruise airco pdc €343pm
audi,e-tron,56900,2019 ,71088.0,Aalsmeer,Noord-Holland,CountryCars NL BV,audi e-tron 55 quattro | s-line | 4 % bijtelling | 408 pk |
audi,e-tron,73900,2021 ,79109.0,Aalsmeer,Noord-Holland,CountryCars NL BV,audi e-tron sportback 55 quattro | 8 % bijtelling |
audi,e-tron,71900,2021 ,37248.0,Aalsmeer,Noord-Holland,CountryCars NL BV,audi e-tron 55 quattro | s-line | 12 % bijtelling | 408 pk |
volkswagen,caddy,12650,2015 ,87919.0,Emmen,Overijssel,Hans Automotive,volkswagen caddy 1.6 tdi | airco pdc cruise control kasten
audi,e-tron,62900,2019 ,33207.0,Aalsmeer,Noord-Holland,CountryCars NL BV,audi e-tron 55 quattro | s-line | 4 % bijtelling | 408 pk |
audi,q5,22900,2014 ,227844.0,Aalsmeer,Noord-Holland,CountryCars NL BV,audi q5 2.0 tfsi | leder/alcantara | trekhaak | nl auto |
citroen,c1,4750,2012 ,133849.0,Zwijndrecht,Zuid-Holland,Manninck,citroen c1 1.0-12v selection
ford,transit,10450,2017 ,109459.0,Emmen,Overijssel,Hans Automotive,ford transit courier 1.5 tdci | airco cruise elektpak €179pm
renault,megane,6450,2014 ,222576.0,Amsterdam,Noord-Holland,U.O,renault megane 1.2 limited tce  met nieuwe motor bj 12-2014
dodge,charger,30000,2020 ,52000.0,'s-Hertogenbosch,Noord-Brabant,CustomMining,dodge charger 5.7 r/t rwd 2016 - 52.000km - 469pk
volkswagen,up!,8250,2018 ,88500.0,Almere,Flevoland,gef,volkswagen up! 1.0 44kw 2018 wit move up zuinig volkswagen 5rs
peugeot,expert,17250,2016 ,187975.0,Emmen,Overijssel,Hans Automotive,peugeot expert 2.0 bluehdi premium airco cruise pdc nav €335
volkswagen,golf,11350,2013 ,165000.0,Rotterdam,Zuid-Holland,Hakim,volkswagen golf 1.4 tsi 90kw 5d 2013 zwart
